,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/c6100768df51dbe3,"[u'Manager, Process Engineering (Technical Services)\nReliance Industries Limited - Jamnagar, Gujarat\nJuly 2011 to July 2013\nJob Description: Provide and maintain technical assistance to production processes (e.g. increase of a plants\navailability, reduction of investment and production costs, debottlenecking & quality improvement)\nProjects:\nRevamp of Delayed Coker Unit by increasing Vacuum Residue (VR) throughput.\n\u2022 Modeled and simulated the actual running condition of all the heat exchangers using ASPEN Plus and HTRI.\n\u2022 Estimated the fouling levels in the heat exchangers.\nMathematical modeling and simulation of cooling towers.\n\u2022 Developed a detailed non-dimensional mathematical model for cooling towers in MATLAB.']","[u'PhD in Environmental Engineering', u""Master's in Chemical Engineering"", u""Bachelor's in Chemical Engineering""]","[u'University of Massachusetts-Dartmouth Dartmouth, MA\nSeptember 2013 to December 2017', u'Indian Institute of Technology Kharagpur Kharagpur\nJuly 2006 to May 2011', u'Indian Institute of Technology Kharagpur Kharagpur\nJuly 2006 to May 2011']"
0,https://resumes.indeed.com/resume/1aebb24bb24328c1,"[u'Engineering Manager\nGolden State Assembly - Fremont, CA\nSeptember 2016 to Present\n\u2022 Manage a team of engineers while concurrently driving projects, meeting time line objectives, delivering production ready products, and creating custom automation processes to production lines\n\u2022 Proficient use of Solidworks in design, prototype, and iterative improvements to new and existing product lines\n\u2022 Manage production, programming of parts, and fixturing in CNC department including production volume and quality control\n\u2022 Consulted with customers to bring designs into reality from custom made harnesses to prototyping', u'Mechanical Design Engineer\nLaptops Anytime - Fremont, CA\nJune 2015 to Present\n\u2022 Lead design drafter, Solidworks\n\u2022 Design parts in 3D and 2D environments and work in direct contact with CEO to insure results are consistent with objectives\n\u2022 Program parts, fixturing, procure raw stock, and communicate with treatment finishing companies to obtain desired results']",[u'B.S. in Mechanical Engineering in With a focus in Mechatronics'],"[u'San Jose State University San Jose, CA\nJanuary 2017']"
0,https://resumes.indeed.com/resume/b71440b564a59de3,"[u'Lead Engineer & Founder\nSolFrost LLC - Oakland, CA\nNovember 2017 to Present\n\u2022 Developed a Ruggedized Portable Solar Powered Cooler, providing a novel solution to typical ice chests used for camping, expeditions, medical purposes, disaster relief, & other off grid needs.\n\u2022 Built a fully functional prototype for marketing, testing, photo shoots, supplier validation, etc.\n\u2022 Founded LLC, acquired domain name, set up emails, sourced logo, managed website development\n\u2022 Performed CAD design, thermal, structural, & electrical analysis, iterating a viable product\n\u2022 Fabricated all parts utilizing composite materials (fiberglass, carbon fiber, epoxy, polyester, etc.)\n\u2022 Designed micro refrigeration system, identified contract manufacturer, & sourced custom samples\n\u2022 Finalized BOM, sourced all prototype parts, and confirmed supply chain for product design\n\u2022 Coded all controls and integrated electronics into a state machine style control design\n\u2022 Built thermal test chamber to monitor and log temperature, voltage, current, and compressor RPM', u'Director of Engineering\nFTC Solar Inc - San Francisco, CA\nJanuary 2017 to November 2017\n\u2022 Acquired Solar Tracker IP from bankrupt SunEdison (previous employer) and product design\n\u2022 Led development of utility scale push/pull driven horizontal single axis solar tracking system\n\u2022 Addressed issues bankruptcy caused with suppliers, agency certification, & test labs\n\u2022 Built & team & managed 5 engineers in a 15-person business unit\n\u2022 Benchmarked current product against competition & developed PRD for new product design\n\u2022 Maintained product documentation - patents, specs, reports, datasheets, manuals, drawings\n\u2022 Developed design spec for low cost cold weather drive system & managed supplier qualification\n\u2022 Proposed test & prototype budgets, formulated plans, managed activities, and delivered results\n\u2022 Performed all tasks shown in the SunEdison position - same product with a new company', u'Senior Engineering Manager\nSunEdison LLC - Belmont, CA\nJune 2011 to January 2017\n\u2022 Promoted from NPI Engineer to Staff Engineer (2013) to Senior Engineering Manager (2015)\n\u2022 Globally deployed >1GW of our solar tracker product, beating the competition by >$0.04/Watt\n\u2022 Managed Product Development and NPI Engineering with 5 engineers in a 20-person BU\n\u2022 Reduced Cost of Goods Sold by more than 25% over 2 years, increasing margins by $30 million\n\u2022 Provided SunEdison a product that was consistently >30% lower cost than competition\n\u2022 Managed all lifecycle, reliability, validation, and failure testing of structural steel and drive system\n\u2022 Instilled & implemented PDM system and ECO process with 5-person engineering team\n\u2022 Managed all UL product certification & testing via CSA, Intertek, and other test labs\n\u2022 Proposed test & prototype budgets, formulated plans, managed activities, and delivered results.\n\u2022 Developed an astronomical algorithm to calculate theoretical sun position and reduce shading\n\u2022 Designed a ruggedized PLC based outdoor motor controller in the first 2 years on the job.\n\u2022 Upgraded control system to a VFD with integrated controls, reducing fixed costs by >75%\n\u2022 Coded alerting calculations and integrated to SCADA using Modbus protocol\n\u2022 Developed weld jigs, gauges, process control, and quality check procedures\n\u2022 Performed RCCA and led FA for various failures within global fleet, providing support as needed', u'Lead Electromechanical Engineer\nProtonex & Ultracell Corporations - Broomfield, CO\nNovember 2008 to May 2011\n\u2022 Supported six $1-5 million contracts for the development of hand held fuel cell power generators\n\u2022 Developed and integrated air & fuel delivery systems for ruggedized fuel cell systems\n\u2022 Designed, specified, sourced and tested various pumps, controllers, and sensors\n\u2022 Built an atmospheric test chamber for data-logging product operation at simulated altitudes\n\u2022 Conducted lifecycle testing with Arduino microcontrollers, LabView, & Agilent data-loggers\n\u2022 Designed machined, extruded, stamped, welded, rapid prototyped, and injection molded parts\n\u2022 Modeled simulations to evaluate fluid mechanics, power utilization, and heat transfer\n\u2022 Provided CAD designs, product datasheets, assembly procedures, BOMs, test plans, PDM support\n\u2022 Managed technicians, interacted with clients & vendors, drafted proposals, & maintained projects\n\u2022 Performed FEA on atmosphere chamber, turbo-pump rotors, & chassis designs', u'Aerospace Engineer (Contract)\nAnalex Corporation - Denver, CO\nMarch 2007 to October 2007\n\u2022 Verified functionality of the Atlas V Rocket flight control software, supporting 3 launches\n\u2022 Software interfaced with navigation, reaction control, & hydrogen/oxygen delivery systems\n\u2022 Identified & fixed a SW issue capable of causing catastrophic failure during satellite delivery\n\u2022 Utilized, developed and improved Matlab testing software\n\u2022 Tested and reported in an ISO 9001: 2000 certified environment']",[u'Bachelor of Science in Aerospace Engineering'],"[u'University of Colorado Boulder, CO\nJanuary 2002 to January 2006']"
0,https://resumes.indeed.com/resume/246e1bc03e16f4a5,"[u'Manager/Assistant Director\nChick-Fil-A - Casa Grande, AZ\nNovember 2014 to Present\n\u2022 Head of Guest Relations, establishing and maintaining positive relationships with regular customers, consistently receiving high customer service ratings\n\u2022 Conducted hiring of new employees including scheduling and conducting interviews, orientation, training\n\u2022 Administrative duties: answering calls, greeting guests, filling out forms, emails, fax, and completion of tasks as assigned\n\u2022 Demonstrated ability to adapt and solve a wide variety of issues efficiently and effectively within a fast-paced customer-oriented environment with minimal supervision\n\u2022 Reliably processed high volumes of information and money, coordinating the work of several individuals\n\u2022 Assisted in maintaining and improving company image through general upkeep and organizational assistance', u'Engineering Intern\nRegenesis Biomedical - Scottsdale, AZ\nMay 2010 to August 2010\n\u2022 Processed medical devices with associated accessories and completion of quality assurance paperwork\n\u2022 Generated technical data and performed tests to support engineering projects and new product development']","[u'Bachelor of Science in Engineering in Industrial Engineering', u'Associates of Science in General Science']","[u'Arizona State University Tempe, AZ\nJanuary 2016 to May 2019', u'Central Arizona College Coolidge, AZ\nAugust 2011 to December 2015']"
0,https://resumes.indeed.com/resume/7696fa2dd7e113f8,"[u""Owner\nM&M Consulting - Saratoga, NY\nMarch 1996 to Present\nNote: periods of M&M Consulting and regular employment, do overlap in areas).\nSTATUS: pursuing both Full-time Permanent Employment and/or Consulting Contracts\nServices Provided: Engineering Consulting: Project Planning, Engineering Admin & Doc Control\nManagement, BOM Coordinator, SAP Program Auditor, Component Sourcing Administrator, MRP &\nSAP Data Entry, Production Material Coordinator/Supply Chain Manager(ERP), WIPs & Production\nInventories, Manufacturer's Liaison, RoHS Corporate Conversion Program Management, AVL Database\nManagement, QA Program Auditor, Program related Purchasing Manager, Program Management\nConsulting, Purchasing Auditor, S.O.W.'s & Project Planning and Tracking, Engineering Specifications\n& Manuals, and CM Liaison along with Daily Operations and duties as required.\nServices Provided: Military Contracts & Business Development: Business Development for OEM &\nMilitary Sales, Government Bids & Solicitations, (FAR) Coordinator, all stages of Marketing to Primary\nContractors & the US Military, Contract and T&C Auditor, GSA Contract Implementation Manager &\nAuditor, Account Management, Project Planning/Proposals & Tracking, Contract NDA's Auditor, Media\nBuying & Planner, Manager for Strategic Partners and Subcontractors, BD Team Coordinator,\nBudgeting, Sales Presentations, Price Negotiations, New Program Strategic Planning Team Member,\nQuotations & Contract Management to Close-out, Manufacturer's Representative Consulting, Sales\nForecasts, Design and Management of Promotions, Event Planning and RFP's & RFI's, RFQ's, BPAs,\nProgram Implementation Management"", u""Program Implementation Mgr/Engineering & Project Planner/BOM Administrator\nM&M Consulting - Valley Cottage, NY\nDecember 2005 to October 2009\nPrimarily for this time frame) Valley Cottage, New York\nTITLE: Program Implementation Mgr/Engineering & Project Planner/BOM Administrator\nSTATUS: Program Related: Full-time Engineering Consulting for various OEM /Manufacturers\nProgram: During this time frame: Primarily the RoHS Directive EU Conversion\nDUTIES: Program Implementation Manager- Documentation Control of all Program related RoHS\nDocumentation, Supply Chain Manager, Government Procurements (FARs), Daily Engineering Admin,\nStrategic Alliances, Procurement Coordinator, SAP Data Entry Auditor, MRP Program Auditor,\nProgram Documentation Control Manager, Corporate Program Auditor-to include EU Directive Policies and Procedures, Program Quality Manager-assisting QC Departments with identifying RoHS Compliant\nparts, Engineering Liaison- Sourcing Administrator, Corrections to Corporate AVL System, Purchasing\nDocumentation Auditor-to include Training Seminars on the RoHS Documentation and Criteria,\nElectronics Engineering Implementation Manager - by assisting with the research (Sourcing) of new\nRoHS Compliant parts, PCN's, Die Revisions, BOM Coordinator, EOL Parts & Notifications, S.O.W., and Manufacturer's Corporate Liaison"", u""Independent Program Consultant/Off-Site Engineering Consultant/BOM Coordinator\nM&M Consulting - Parsippany, NJ\nJanuary 2000 to September 2005\nformerly: Dialogic) Parsippany, New Jersey\nTITLE: Independent Program Consultant/Off-Site Engineering Consultant/BOM Coordinator\nSTATUS: Off-site Independent Engineering Consultant\nDUTIES: Research of current Electronic Component Databases, Project Planning & Tracking,\nSourcing Analyst, Manager of all AVL~ Vendors, BOM Coordinator, Die Revisions Coordinator in support of Dialogic's new R&D Programs, researching current Lead Times for parts, updating and\ncorrecting the current Spreadsheets and Dialogic's BOM's towards the parts used in Manufacturing and\nDesign. Supplier Liaison assisting Engineering Group with new RoHS Compliance, RoHS Auditor &\nDocumentation Control Specialist ~ to include MDF's & COC's, Engineering S.O.W.'s Coordinator, &\nManufacturer's parts availabilities, Confirmation of EOL's, Production Forecasts, Backward & Forward\ncompatibility, PDSI Forms, MAPICs and SAP Data Entry, and Sourcing Drawings"", u""Consultant\nM&M Consulting - Amsterdam, NY\nJune 1998 to December 1999\nTITLE: Engineering Coordinator/ Contracts & Sales: to include both Inside, and Field Business\nDevelopment of PC and VME based Computer Hardware to DOD Contractors for the Aerospace/Defense\nIndustries, Commercial/Industrial Applications, and custom Integrated Systems\nSTATUS: Full-time Permanent Consultant\nDUTIES: Project Coordinator, (FAR) Government Coordinator, BOM Administrator, Accounts\nManager (Inside & Field Sales), Customer Service & Purchasing Manager, Engineering S.O.W.'s &\nProject Tracking, Marketing Materials, Trade Show Coordinator, Data Base Management, Price\nQuotations, Purchase Orders & Contract Negotiations Management, WIPs & Production Inventories,\nShipping & Receiving, RMA's, Vendor & Production Management, System Configurations based on the\nCustomer's applications, team member to have achieved a 1.5 mil dollar State Transportation Contract by aggressive Bid Solicitation, and rescued a 4.5 mil dollar Manufacturer's Contract"", u""Engineering Contracts Manager/Engineering Recruiter (per\nM&M Consulting - Oakland, NJ\nMarch 1997 to May 1998\nOakland, New Jersey\nTITLE: Engineering Contracts Manager/Engineering Recruiter (per 1 year Contract Only)\nNoted: (Dates of M&M Consulting and EPI, do also coincide - as per 1 year Consulting Contract)\nDUTIES: Engineering Admin, Management of Client and Employee Account Data Bases, Engineer\nRecruiter for EPAI, Case Management, Project Administrator, BOM Administrator, Engineering\nS.O.W.'s & Project Tracking, Trade Show Coordinator, Publicity Manager, General Manager of Daily\nOperations, Client Contract Negotiations, Corporate Presentations, Engineering R&D Training, and\nDOD Liaison"", u""Engineering Coordinator/Bus\nPhotronics Systems - Oakland, NJ\nDecember 1994 to March 1997\nDev. Administrator to: Dir. of Imaging Systems/Gov't. Sales\nSTATUS: Full-time Permanent Employee\nDUTIES: Team member tasked to Develop, Manufacture, and Market a new High Speed Digital\nCamera System to the Military/Aerospace & Defense Industries: Program Planner/Coordinator,\nEngineering Admin Manager, BOM Coordinator, Documentation Auditor, Program related\nDocumentation & Product Manuals, Executive Assistant to the Contracting Manager, Government (FAR)\nAdmin, Assistant Manager for Government Bids & Solicitations: instrumental in successfully acquiring a\n5 million - 5 year Military Contract, Engineer Liaison (DE and EE), Production Coordinator(ERP),\nNewsletter Manager, Program related-Customer Service Dept. Coordinator, Trade Show Coordinator,\nPurchasing Auditor for Raw Materials for Production, Program related Database Manager - SAP and\nMRP Entry, Contracts Admin Coordinator, Coordinator of International Travel Correspondences, TQM\nMeeting Coordinator, Assistant Manager of PDR's and CDR's (Preliminary & Critical Design Reviews)""]","[u'Regents Diploma', u'Associates in Business']","[u'Graduate Gloversville High School Gloversville, NY', u'Fulton Montgomery Community College Johnstown, NY']"
0,https://resumes.indeed.com/resume/6b04e7b1895ac901,"[u'Quality Engineer\nCameron - Vicksburg, MS\nJuly 2013 to Present\nDevelop and implement non-conformance Process, Procedure and all departmental instructions.\n\u2022 NCR Trend Analysis\n\u2022 Develop quality procedures and departmental instructions necessary to create a facility manual in order to get the facility API Q1 certified.\n\u2022 Establish/Report Quality metrics evaluating performance.\n\u2022 Data driven decision making\n\u2022 Develop Training for all newly implement Quality related functions\n\u2022 Training for all Departments for QMS functions\n\u2022 People development\n\u2022 Manage field performance reports (FPRs)\n\u2022 Manage Corrective/Preventive Actions (CPARs)\n\u2022 SAP Training on functions of Quality\n\u2022 Supplier Evaluation Analysis\n\u2022 Cost analysis for financial expenditures (AFEs)\n\u2022 Managing Quality related capital projects for improvement.\n\u2022 Create/maintain departmental training/certification matrices.\n\u2022 Lead Improvement Projects, design and implement quality procedures\n\u2022 Train new employees and coach existing employees\n\u2022 Lead 3 QEs to ensure project momentum\n\u2022 Suggest and implement cost-saving ideas', u""Quality Engineering Team Leader\nHol-Mac Corp - Bay Springs, MS\nMarch 2012 to July 2013\nWorking with product designers and developers at all stages to promote quality\n\u2022 Producing test plans and ensuring they are followed\n\u2022 CMM programming\n\u2022 Statistical analysis\n\u2022 Automating tests where appropriate\n\u2022 Lead Improvement Projects, design and implement quality procedures\n\u2022 Enforce all safety and processing procedures\n\u2022 Train new employees and coach existing employees\n\u2022 Suggest and implement cost-saving ideas\n\u2022 Assume responsibility for quality output as a participant in administering the company's Quality Management System.\n\u2022 Implement Lean/Agile manufacturing practices, and statistical analysis\n\u2022 Working with developers to perform root-cause analysis and preliminary problem diagnosis.\n\u2022 Hydraulic and Pneumatic systems troubleshooting"", u""Quality Engineering Technician\nHol-Mac Corp - Bay Springs, MS\nAugust 2011 to February 2012\nCompleting HBT Program (Hol-Mac Basic Training), Abiding by Hol-Mac's Environmental Health and Safety Handbook, Performing inspection requirements, Performing calibration of tools/equipment, Performing audits, Performing all necessary testing, Training, Participating in Continuous Improvement, Performing routine preventative maintenance"", u'Assistant Manager/Tax Preparer\nTax Advantage Inc\nDecember 2007 to May 2011\nAssisted in the review and analysis of sales and use tax software for tax preparation; Coordinated or assist with the configuration and troubleshooting relating to indirect tax systems and system implementations; Support or prepare documentation for external audits; Responsible for tax training software; Ensure that all business units have sufficient processes and records; Administer programs to ensure that each business unit has current exemption certificates; Provide support from employees and customers. Responsible for the implementation of new projects in tax perspective\n\nSkills & Expertise\n\u2022 Manufacturing\n\u2022 Product Development\n\u2022 Project Management\n\u2022 Lean Manufacturing\n\u2022 Continuous Improvement\n\u2022 Quality Assurance\n\u2022 CMM Programming\n\u2022 API Q1 Certification\n\u2022 Six Sigma\n\u2022 Statistical Analysis\n\u2022 Procedure Design and Implementation\n\u2022 Internal Auditing ISO 9001 & API Q1\n\u2022 Data Collection\n\u2022 Microsoft Office\n\u2022 SAP\n\u2022 GD& T', u""Quality Engineering Technician\nHol-Mac Corp - Bay Springs, MS\nMay 2008 to August 2008\nCompleting HBT Program (Hol-Mac Basic Training), Abiding by Hol-Mac's Environmental Health and Safety Handbook, Performing inspection requirements, Performing calibration of tools/equipment, Performing audits, Performing all necessary testing, Training, Participating in Continuous Improvement, Performing routine preventative maintenance""]","[u""Bachelor's in Industrial Engineering Technology""]",[u'University of Southern Mississippi\nJanuary 2008 to January 2013']
0,https://resumes.indeed.com/resume/54b4be7091b24bf6,"[u'Engineering Manager\nMoTeC SYSTEMS EAST - Mooresville, NC\nMay 2005 to Present\nSpecializing in engine management, data acquisition, and intelligent power distribution. Specifying systems to meet customer requirements in automobiles, watercraft, aircraft, and military.', u'Engineering Manager\nMoTeC SYSTEMS EAST\nJanuary 2008 to January 2018\nDirect and manage the daily operations of the MSE engineering team (7 reports). Oversee and maintain customer projects and new product sales and support.\n\n\u2022 Recruit, hire, and train engineers to provide application support. Expanded engineering group to double the size.\n\u2022 Launch new products to support the MoTeC lineup and satisfy customer requirements. Products include but are not limited to a custom steering wheel, 4G wireless telemetry radios, electronics enclosures, adapter boxes.\n\u2022 Spearhead sales and support of newly released products. Test products to train others on their functionality and develop documentation\n\u2022 Develop engine controller firmware. Use C++ based scripting to develop engine control logic for new projects and technology. Examples: nitrous control, automatic transmission control, diesel engine control, boost and launch functions.\n\u2022 Generate bill of materials (BOM) and gantt charts for in house product development.\n\u2022 Work with race series to gain product approval and in some cases, specification of our product as mandatory.\n\u2022 Provide strategic direction and assist in CNC machining of MSE product development. Generate CAD models and CNC G code using Solidworks and GibbsCAM.\n\u2022 Generate proposals for new large-scale projects. Lead presentations to project key personnel.\n\u2022 Awarded several contracts with tier I government suppliers for United States Special Operations Command (USSOCOM) vehicles. Military projects include engine control, transmission control and blackout systems.\n\u2022 Scheduling for series track support. Direct engineering staff to ensure track support requirements are being fulfilled. Attend select events to train engineers on project as well as work with category organizers.\n\u2022 Oversee engineering and project budgets. Work within budget for product development. Maximize engineering budget for software, tools, and department expansion.\n\u2022 Developed new dealer program. Teach week long dealer training seminars.', u""Applications Engineer\nMoTeC SYSTEMS EAST\nJanuary 2005 to January 2008\nIntegrated the MoTeC electronics into various automobile, watercraft, race and non-race applications. Calibrated engines on dynamometers and optimized setup at the race track. Provided phone and email support to prospective and current customers.\n\n\u2022 Won multiple championships and countless races with customer vehicles that received MoTeC's product and engineering support.\n\u2022 Orchestrated the approval of the MoTeC product into multiple classes in various series such as NHRA.\n\u2022 Developed baseline calibrations for hundreds of diverse engine types. Traveled throughout the world to engineer engines and chassis dynamometers.\n\u2022 Optimized chassis and suspension by use of data collected with the MoTeC electronics. Recommended changes for shocks, springs, geometry, and aerodynamics after careful and detailed data analysis."", u'NVH Engineer\nNAVISTAR/INTERNATIONAL - Melrose Park, IL\nJanuary 2004 to January 2005\nMelrose Park, IL 2004-2005 American holding company that owns the manufacturer of International brand commercial trucks, IC Bus school and commercial buses, Designs and manufactures diesel engines.\n\nNVH Engineer\nAnalyze and reduce noise, vibration, and harshness on components and vehicles. Used physical testing and software analysis to design solutions for NVH related projects. Perform testing and validation on prototype for proposed design.\n\n\u2022 Contributed to research and development projects in the area of NVH. Designed solutions, conducted tests, and analyzed results to develop and improve new engine integration projects.\n\u2022 Produced test results for modal analysis on engine block structure to the design team and vibration balance data to the valvetrain team.\n\u2022 Designed mass dampers to solve modal alignment issues in trucks.\n\u2022 Completed training on Bruel & Kjaer and LMS Cada-X acoustics and vibration software platforms.']",[u'BS in Mechanical Engineering'],"[u'Northern Illinois University DeKalb, IL']"
0,https://resumes.indeed.com/resume/ef5cda98c552e514,"[u'Engineering Technician III\nUtility Design Services - Edwardsville, IL\nMay 2012 to Present\nDesigner of major electrical system improvement projects including substation\nretirements, high voltage conversions, rebuilds and new or replacement\noverhead/underground construction\n\u2022 Highly proficient in operating AutoCAD & Microstation\n\u2022 Developed company standards and techniques to reduce labor cost and increase\noverall efficiency\n\u2022 Identified & provided solutions for National Electrical Safety Code violations', u'Technician\nPro Pool - Bridgeton, MO\nMarch 2008 to April 2012\n\u2022 Responsible for maintenance of approximately 70 swimming pools weekly\n\u2022 Provided excellent customer service to both residential and commercial clients\n\u2022 Managed crews of three or more people during the opening and closing of pools', u""Assistant General Manager\nFazoli's - Bridgeton, MO\nApril 2005 to November 2007\n\u2022 Responsible for opening, closing, and managing the restaurant\n\u2022 Utilized product ordering/par system, maintaining quality of food and servable\nproduct\n\u2022 Provide knowledge and continual education for any and all menu\nimplementations, not excluding existing menu items\n\u2022 Responsible for satisfying low Labor Cost and minimal turnover""]",[u'Associates of Applied Science in Computer Aided Drafting and Design'],"[u'ITT Technical Institute Earth City, MO\nMarch 2012']"
0,https://resumes.indeed.com/resume/24f1d8726568025a,"[u'Business Systems Analyst III\nSAIC - O\'Fallon, IL\nJune 2008 to January 2012\nNetworx transition team member responsible for ""Provisioning""/Information Assurance existing DoD communications circuits to the Networx contract.', u'Engineering Technician/AutoCAD Drafting, Project Manager\n218th EI Squadron Missouri Air National Guard - St. Louis, MO\nAugust 1993 to September 2008\nCivil Engineering construction / project management design/drafting and inspection. Repaired, restored, and renovated historic facilities; project design; prepared statements of work cost estimates; developed drawings and sketches; manual and automated drafting', u'Engineering Installation Quality Assurance Evaluator /Engineering Technician /Team Chief\n218th EI Squadron Missouri Air National Guard - St. Louis, MO\nJanuary 1979 to September 2008\nANG) - Jefferson Barracks ANG Station, St. Louis, MO. Total time in service 29 yrs - 9 mo: 1/1979 - 9/2008 Final Active Duty Tour: 10/04 through 6/08. Air Force Communications Team Chief, Section Supervisor, Installer, Project Support Drafting Section Supervisor, Chief of Quality Assurance, Evaluator, Instructor- DISA Network Expansion Project. Duties included: Inspection, maintenance, installation, testing, quality inspections, site preparation / installation acceptance inspections.', u'Engineering Technician, Draftsman\nTel-Vi Communications Inc - Fenton, MO\nJuly 1985 to April 1993\nTelecommunications project estimation, RS Means Estimating System Survey fabrication perspective-type drawings, implementation and maintenance, administration, installation, and equipment removal.']","[u'Associate of Art in Electronic Communications Installation', u'Certification', u'Information Technology in Computer Maintenance']","[u'Community College of the Air Force', u'Senior NCO Academy', u'Jefferson College Hillsboro, MO']"
0,https://resumes.indeed.com/resume/695bbf03fd004a95,"[u'Engineering Manager - Program Management\nSYNAPTICS INCORPORATED\nNovember 2015 to Present\nProvided technology leadership to the Engineering Program Management team for the timely creation, selection and delivery of technology solutions for all biometric products including touch controllers, display drivers and integrated touch\nenabled products for Mobile, PC and IoT BUs. Assisted BUs in designing Product Road-maps by conducting market\ncompetitiveness evaluation, Design-Rule (DR) specification, and performed technology risks evaluation & mitigation\nstrategy. Managed third party provider expectations and communications while ensuring tolerable risk and clarity on project activities. Managed a team of Regional Program Managers dispersed across the globe (China, Japan, Korea, Taiwan and United States) and supported large clients like Huawei, Samsung, OPPO, Vivo, Sony, and Lenovo.\n\nKey Activities & Accomplishments:\n\u2022 Led product development programs (consisting of over 70+ projects) from the point of inception till the point of product\nlaunch, in close collaboration with the Product Managers, Program Managers, Engineers & other cross-functional\nleadership team.\n\u2022 Partnered with technology leaders across BU\'s and functional teams to drive transformational change and technology\nalignment with a focus on increasing productivity and speed of delivery with quality, security, and scale in mind.\nAssisted BUs in costing and pricing the BGAs/LGAs.\n* Strategized and outlined program objectives, set governance and control for multiple projects through the entire\nprogram lifecycle and managed communications on Program updates to program management directors, executives,\nsenior management and stakeholders.\n* Created technology interconnectedness ""Dashboard"" reflecting schedule interaction, prioritization, resource allocation,\nand project progress curve for over 150-projects.\n\u2022 Managed implementation of ASIC Package Review process using Agile PLM(TM) and drove Solution Engineering process\nfor Synaptics global products to deliver high quality products.\n* Led Joint Planning Session (JPS), assisted in hiring team members and managed technology driven critical nodes for operational/ schedule effectiveness.\n* Implemented ISO 9001 for Design and Manufacturing processes for Phoenix, AZ site.\n* Proud recipient of the award from the CEO for driving results and providing quality leadership - awarded to <1%', u""Engineering Program Leader\nINTEL CORPORATION\nMarch 2011 to July 2015\nCreated and managed the semiconductor packaging roadmap and architectures across Platforms (Servers, Desktops & Laptops) and Products; led IoT and Intel Custom Foundry (ICF) for multiple projects with lowest total cost of ownership\n(TCO), assisted in smooth integration of Intel acquired companies (M&A), and spearheaded IC Packaging Architectures\nwith cost reduction across platforms. Conducted competitive intelligence, benchmarking and teardown analysis for FCCSP\nindustry, automotive industry, mobile packaging, foundry industry, 2.5/3-D technologies, and servers. Maintained a strong\nrelationship with Customers, Suppliers and Executive stakeholders. Influenced senior executives with effective presentations on design-cost-manufacturing that lead to crucial corporate decisions.\n\nKey Achievements\n* Led the team for on-time delivery of over 40-new products across 12-new customers for Intel's nascent Intel Custom\nFoundry (ICF) division generating over $35M additional revenue over a year.\n* Honored recipient of numerous awards for introducing multiple innovative IC packaging architectures across platforms - e.g. PoINT for servers, iSVLC for MCP servers, and suspended air core inductors (s-ACI) for ultra-thin\ncore (UTC) IC packages\no To enhance cost structure with a saving north of $250M over two years.\no Superior warpage management of large die / large form factor products resulting in 7% yield improvement over baseline in High Volume Manufacturing (HVM) environment.\n* Led Platform and Integration teams to enable tablet market with ultra-thin products, and provided transition path for\nsmart-phone from coreless to off-the-shelf CSP technology saving Intel over $40M.\n* Provided organization-wide leadership and guidance on standards, best practices for silicon/systems engineering by constantly incorporating the latest industry technologies and standards.\n* Led product division team on finalization of architectures of both Core(TM) and Atom(TM) based micro-server, as a deterrent for newly burgeoning competition in micro-servers, a key strategic area for Intel.\n* Led and directed multiple and simultaneous R&D projects across globe delivering proof-of-concept, process definition\nand prototypes for the technologies, creating 20% more technologies in the pipeline for future products.\n* Advised and reviewed multiple PhD students' thesis in the capacity of thesis committee member.\n\nINTEL CORPORATION (July, 2007 - March, 2011)"", u'Program Leader\nINTEL CORPORATION\nAugust 2005 to July 2015', u""Platform Integrator\nINTEL CORPORATION\nJanuary 2007 to January 2011\nOrchestrated the leadership and daily activities of cross-functional teams in the timely creation, on-time delivery of integrated IC packaging technologies for clients, servers and handhelds. Managed design of experiments, statistical data\nanalysis including Monte-Carlo simulations, created and managed multiple predictive & regressive analytics, FMEA,\nDFMEA, reliability and failure analysis, package signal integrity & power delivery analysis, packaging design rules (DR)\ndefinition, and packaging test vehicle design.\n\nKey Achievements\n* Won corporate award for saving $260M and conceptualizing the low cost supply chain model originated from the co- design of silicon back-end, C4 bump pitch and IC packaging design rules (DR).\n* Devised and implemented suppliers' Should Cost Model (SCM) and Substrate Yield Model (SYM) with 20% more\naccuracy.\n* Saved $300M over 3-years working in IC Packaging Financials and Supply Chain Management.\n* Designed and integrated Fully Integrated Voltage Regulator (FiVR) into IC packages for client and servers\nimproving the product performance by 20%.\n\nINTEL CORPORATION (August, 2005 - July, 2007)"", u'IC Packaging Core Competency Engineer\nVolume Manufacturing\nJanuary 2005 to January 2007\nNurtured deep domain expertise in IC packaging technologies with keen understanding of the Silicon, Socket and motherboard interactions. Cultivated and fostered relationships with substrate, materials and equipment suppliers across the globe. Managed Suppliers on Package development, Yield Improvements, IP negotiations, Low Cost Packaging, High\nVolume Manufacturing, Capacity expansion and Quality conformance.']","[u'Ph.D. in Nano in dielectrics', u'Masters of Science in Material Science and Applied Physics', u'MBA']","[u'Rensselaer Polytechnic Institute Troy, NY', u'University at Albany Albany, NY', u'Solvay Business School, Universit\xe9 Libre de Bruxelles Brussels, IL']"
