,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/2872c8580ed4d0c2,"[u'Senior Financial Analyst\nDoskocil Manufacturing - Arlington, TX\nSeptember 2016 to Present', u'Financial Analyst\nFebruary 2015 to September 2016\n\u2022 Analyzed item-level detail to understand and communicate key drivers of margin variances\n\u2022 Created item costing for potential new business\n\u2022 Built and maintained excel templates for the sales and marketing teams to illustrate customer and item profitability\n\u2022 Performed sensitivity analyses to quantify the impact of price and program changes\n\u2022 Trained the sales and marketing teams on how to use and interpret available reporting tools\n\u2022 Created pro-forma P&L for potential M&A opportunity to identify areas for cost savings\n\u2022 Compiled, coordinated, and finalized $240M sales budget through multiple revision processes\n\u2022 Worked with marketing, sales, traffic, and EC suite to understand data needs and build reports that helped track key metrics\n\u2022 Built Excel database with sales and margin history for successful sale to new investor group\n\u2022 Prepared and reviewed presentations for quarterly board meetings', u""Financial Analyst\nEnvoy Air Inc - Fort Worth, TX\nApril 2013 to June 2014\n\u2022 Responsible for 28 airports' annual budget, monthly forecasting, and ad-hoc reporting\n\u2022 Created multiple Excel models to explain and address company-wide issues\n\u2022 Provided financial/business justification for capital projects\n\u2022 Utilized SAP, Excel, and Essbase to gather, and present information to senior management\n\u2022 Held monthly reporting and variance analysis meeting with senior management including company SVP""]",[u'Bachelor of Business Administration in Finance/Economics'],"[u'University of North Texas Denton, TX\nMay 2012']"
0,https://resumes.indeed.com/resume/d9645eef27f21200,"[u""Financial Analyst\nAshford Hospitality\nJanuary 2017 to Present\nLed an Urban Fee project that is expected to bring in an additional $5MM in GOP on an annualized basis\nReduced completion time by a cumulative 15 hours and increased accuracy of numerous reports by creating Excel macros\nCreated custom report that identifies near-term revenue pace and index issues for 120 hotels\nVolunteered to lead Ashford's 2018 budget process which includes collecting, summarizing, and distributing operating budgets for 134 hotels to lenders and EVP of Asset Management\nNegotiate retail, parking, and advertising space business for hotels\nModel and create presentations of revenue generating projects for approval from Board of Directors\nMaintain data integrity and be the point of contact between third party data vendors and Revenue Optimization Team\nUpon hiring, immediately took over portfolio underwriting while Director of Underwriting was out for paternity leave"", u'Senior Revenue Analyst\nRemington Hotels - Dallas, TX\nJune 2014 to January 2017\nUsing Excel macros, created custom weekly revenue and occupancy reports for 12 hotels that lack brand support\nManaged and developed junior analyst\nCreated tool for Sales Team that evaluates importance of and sets new rates for corporate accounts\nBuilt demand curves for occupancy projections within 30 days that are accurate within 3 percentage points of portfolio occupancy\nUsed linear regressions to calculate sellout probabilities and determined variables that have the largest impact on primary indices\nProvided suggestions to remix source of business to increase revenue on high demand days\nMaintained and audited automatic rate and occupancy generating system\nLed drive to place entire portfolio on 15+ online travel agencies\nAudited group booking process to ensure current system is effective and being used effectively']",[u'Bachelor of Arts in Economics'],"[u'University of Texas at Austin Austin, TX']"
0,https://resumes.indeed.com/resume/93265ae1e57d1833,"[u'Controller\nFamilylinks inc - Pittsburgh, PA\nSeptember 2016 to Present\nBudget preparation for three different entities. Manage Senior Accountant production of financial statements. Point of contact for independent auditors. Utilize Financial Edge, and Microsoft Office Applications.\n\u2022 Reconcile County funding letters to billing system units and payments received.\n\u2022 Management of Accounts Payable, Payroll, Billing, and Senior Accountant.', u'Controller\nRedstone Presbyterian SeniorCare - Greensburg, PA\nJanuary 2007 to September 2016\nBudget preparation and profit planning alongside CFO, totaling $28 Million. Point of contact for supervisors and VP\u2019s concerning reconciliations of budget vs. actual variances. Execute reconciliation of statements, forecasting and audit functions on a multi-facility level.\n\u2022 Assisted in major refinancing of debt reducing interest expense by 16.33%.\n\u2022 Yearly preparation of Medicare and Medicaid Annual Cost Reports driving the company reimbursement rate and lead contact with state and federal auditors. Solely responsible for reporting financial ratios for continuing CARF Accreditation.\nAssistant Controller JULY 2012 \u2013 OCTOBER 2012\n\u2022 General ledger, monthly closing functions, ad-hoc report preparation. Responsible for coordinating and providing information for independent, governmental and other auditors.\n\u2022 Payroll backup over three campus locations. Lead trainer for employees on web based pay stub system that saves time in paycheck preparation and distribution saving the company $1K per quarter in materials and labor hours.\nAccountant JANUARY 2007 \u2013 JUNE 2012\n\u2022 Part of implementation team for new time and attendance software; over 470 employees and enrolling through biometrics. Fixed asset reconciliation and maintenance. Utilized the financial system Advanced Answers on Demand, Online Advantage, Matrix, CTR Payroll Processing system, KRONOS time keeper, TimeForce time keeper, and Microsoft Office applications.', u'Accountant\nDynavox - Pittsburgh, PA\nDecember 2005 to January 2007\nOrganized, gathered, and broke down period close information in preparation of balance sheet and income statement. Prepared monthly closing journal entries, accruals, and analyzed balance sheet and income statement. Utilized the financial system Great Plains, FRX Reporting system and Microsoft Office applications.', u'Financial Analyst\nGeneral Physics - Ellicott City, MD\nNovember 2004 to September 2005\nPrepared closing journal entries and income statement analysis on three separate accounting units with total revenue of over $1.2 Million. Analyzed and maintained large volume of sub-contractor invoices: generated accruals and distributed cost/revenue. Extensive use of the financial system Lawson and Microsoft Office applications.', u'Financial Analyst\nWatson Wyatt Worldwide - Washington, DC\nOctober 2000 to November 2004\nProvided monthly, weekly, and ad hoc reports to office and divisional managers throughout Watson Wyatt. Calculated A/R and WIP reserve balance, attend to issues, as well as realization and net accrual revenue in comparison to actual budget for current month. Operated Microsoft Office applications, Monarch Pro, and Lawson.']","[u""Bachelor's""]",[u'Ohio University-Main Campus']
0,https://resumes.indeed.com/resume/1d6bf8db2abef4ac,"[u'Accounting Manager\nFort Knox Federal Credit Union\nFebruary 2012 to Present\nManage for team of ten\nMonth-end closing\nRegulatory reporting (CALL report)\nData integrity & efficiencies', u'Financial Analyst\nJPMorgan Chase\nFebruary 2002 to February 2012\nFinancial analysis of commercial clients']",[u'Bachelors Arts in with 3.1 GPA'],[u'Vanderbilt University']
0,https://resumes.indeed.com/resume/d28738bb0fa10f2b,"[u'Financial Accounting Analyst\nFourth Leaf Fruit Co - Yakima, WA\nJanuary 2018 to Present']","[u'Associates of Art in Accounting', u""Bachelor's of Science in Economics & Business Administration""]","[u'Yakima Valley Community College Yakima, WA', u'CEU Ellensburg, WA']"
0,https://resumes.indeed.com/resume/89585b6a266e3e0b,"[u'Financial Analyst\nAllergan - Pleasanton, CA\nJanuary 2017 to Present\nAnalyzed and developed ad hoc reports, including variance, trend, mix, sensitivity, scenario, and cost-benefit analysis, Supported business parters on reduce expenses, and mitigate risks by developing financial models to quantify outcomes across various scenarios with multiple variables. Performed monthly analysis of business performance by reviewing comparative operating results, researching variances, and documenting finds. Serviced as finance point person for department heads, reviewing financial results and department operating expenses and providing guidance and instruction on budget procedures, expense tracking, and goal setting. Ensured timely and effective completion prepaid and expense allocations.\n\u2022 Led post merger integration of financials & business practices between Zeltiq & Allergan.\n\u2022 Reduced customer free product spending by ~6 million through KPI support.', u'Financial Analyst\nEIS Group - San Francisco, CA\nJanuary 2014 to January 2017\nDeveloped annual budgets and collaborate across multiple departments to review past trends and upcoming obligations to ensure all needs are met. Work with Accounting, Project Management, and Sales departments to forecast data and performed quarterly flux analysis of actual versus forecasted budgets. Created complex financial models and consolidate monthly results to assist in strategic planning across the organization. Identified organizational metrics and manage all operational strategic projects. Delivered analytical support and creative solutions to Professional Services department to drive billable utilization and lower non-billable time.\n\u2022 Increased billable utilization by a total of 20% through ongoing analytical support\n\u2022 Improved gross margins by 7% between Q2 and Q3 of 2016.', u'Senior Accountant\nBreakthrough Collaborative - San Francisco, CA\nJanuary 2013 to January 2014\nPrepared organizational budget for 2015 and calculated key performance indicators (KPIs) to be used in strategic planning. Processed and paid account payables, reconciling all bank accounts and completing a general ledger. Monitored all financial activity and reported to a variety of grant donors, tracking incoming funds and preparing income statements for review. Tracked restricted grant funds and deferred revenue on an ongoing basis.\n\u2022 Launched new financial producers to improve efficiency of reporting.\n\u2022 Successfully planned & led new ERP implementations', u'Accountant\nSincere Orient Food - Industry, CA\nJanuary 2011 to January 2013\nPrepared all manner of financial documents, including monthly accruals, reconciliations of accrual accounts and sub-ledgers, performing research and analysis. Executed adjustments and closing entries while preparing profit and loss statements, managing inventory, and collecting receipts for purchases. Created balance sheets, computed and distributed costs, and monitored overhead expenses. Gathered and analyzed data to prepare and consolidate internal and external financial statements. Authored spreadsheet reports, effectively verifying all levels of financial information.\n\u2022 Successfully improved accuracy of all journal entries.\n\u2022 Saved reporting time by developing spreadsheets that quickly located needed information.']",[u'B.A. in Business Economics'],"[u'University of California Irvine, CA']"
0,https://resumes.indeed.com/resume/df648a6d07d31828,"[u""Sr. Financial Analyst\nAbbott Laboratories\nFebruary 2014 to June 2017\nCorporate Entity Planning & Analysis (CEPA)\n\u2751 Improved & updated internal Transfer Pricing Practice\n\u2751 Coordinated TP team through planning & executing annual cycle Transfer Price annual cycle activities calendar to publishing new year's TP data to all Abbott impacted parties\n\u2751 Supported & executed the entity benchmark analysis led by Corp Tax and Corp Customs\n\u2751 Communicated and/or coordinated TP related discussion across divisions & functions (Diagnostic, Pharmaceutical, Nutrition, Corp Tax, Customs, Corp Treasury, Entity Planning, Supply Chain, Margin Group, Manufacture Sites, Distribution Centers, Global Affiliates)\n\u2751 Supported SAP launching trough worldwide affiliates\n\u2751 Provided training & coaching to new employees of TP team\n\u2751 Involved new system development & launch - Web based Transfer Pricing System & SAP\n\u2751 Systems - MC Access data base & Excel, SAP\n\u2751 Awarded: 3 Gold Award & 1 Bronze Award from management"", u""Financial Analyst\nAbbott Laboratories\nJune 2007 to February 2014\nCorporate Entity Planning & Analysis (CEPA)\n\u2751 Be trained & applied the internal Transfer Pricing Practice\n\u2751 Practiced Transfer Pricing for area of European affiliates (22) across 5 Diagnostic divisions products; Supported role for areas affiliates of Asia Pacific & Latin America (24)\n\u2751 Timely executed annual TP cycle activities through collecting entities financial plan, constraints and products & costs master data to publishing new year's TP data\n\u2751 Efficiently & consistently handled the mid-year daily TP responsibilities (new products launch, backorder products, mid-year TP adjustment, adhoc TP requests)\n\u2751 Regularly populated products & costs master data to TP system and published up-to-dated TP data to multiple systems to support product order, shipment, customs clearance, etc.\n\u2751 Handled the quantitative adhoc analysis projects for management, Corp Tax, Corp Customs, Entity Planning, Supply Chain, Margin Group\n\u2751 Systems - MC Access data base & Excel, SAP"", u'Data Manager\nBarbara Ann Karmanos Cancer Institute - Detroit, MI\nApril 2005 to May 2007\nThe Department of Bone Marrow Transplant (BMT), Internal Medicine\n\u2751 Coordinate and maintenance the MS Access Database System for Cord Blood Bank Program and other bone marrow transplanted related clinical trials\n\u2751 Support budgeting and internal program financial analysis for Cord Blood Bank Program', u'Financial Analyst\nDetroit R&D, Inc - Detroit, MI\nJanuary 2002 to March 2005\nFinancial reporting (Income Statements, Balance Sheets and Cash Flow), Account payable/receivable, bank reconciliation, payroll, budgeting for NIH (National Institute of Health) grants application, support internal / external auditing\n\u2751 Consolidate material cost, setup price of finished products & billing process']","[u'M.B.A.', u'B.S.']","[u'Wayne State University Detroit, MI\nJanuary 2002 to January 2004', u'McMaster University Hamilton, ON\nJanuary 2000 to January 2002']"
0,https://resumes.indeed.com/resume/9d6bb082e67c6d2f,"[u'Financial Analyst\nState Farm Insurance - Flossmoor, IL\nJanuary 2015 to Present\nCreate an outstanding customer experience by resolving customer service\nissues, and helping the agency meet sales objectives which contributed to the success of the agency\n\u2022 Help clients select an insurance policy that works best for them, whether their needs are auto, home, health, or life\n\u2022 Provide valuable information regarding insurance and the risks that make\ninsurance necessary']",[u'Bachelor of Science in Business'],"[u'Eastern Illinois University Charleston, IL\nDecember 2014']"
0,https://resumes.indeed.com/resume/2d47cf0c2f3b6fd8,"[u'Sales Operations Analyst\nTECHNOLOGY SERVICES INDUSTRY ASSOCIATION - San Diego, CA\nApril 2016 to Present\n\u2022 Created and monitored key sales metrics resulting in highest generated sales and peak efficiency, while reporting direct to SVP of Sales\n\u2022 Leveraged Salesforce and Excel to drive sales operations success by providing teams with meaningful facts and analyses to advance change and highlight new sales opportunities\n\u2022 Promoted to Partnership Sales Ops Analyst after 5 months of employment and, subsequently, promoted to Business Development for exceeding SVP of Sales\u2019 performance expectations\n\u2022 Trained new hires on salesforce fundamentals, alternative internal tools, product basics, and critical sales competencies through mock calls\n\u2022 Assisted in creating training manual containing salesforce basics, company/product overview, and sales outreach fundamentals\n\u2022 Analyzed current systems and made recommendations on enabling technologies in support of sales organization productivity', u'Financial Analyst\nBMB GROUP - San Diego, CA\nJune 2014 to March 2016\nThird largest confectionary manufacturer in GCC region, privately held and based in Dubai, UAE with 900+ employees.\n\u2022 Developed and maintained bottom-up financial forecast models, and other internal management reports to drive decision making and improve predictability of the business\n\u2022 Worked closely with Manager of Finance to create and manage monthly, quarterly, and yearly forecasts; as well as budgets from Salesforce and other internal reporting tools\n\u2022 Extracted and manipulated raw data for analysis or conclusions influencing VP/SVP level associates\n\u2022 Reviewed and responded to requests/inquiries from cost centers regarding expense approvals, account cash transfers, and budget increases', u'Financial Analyst\nGRUPO TELEVISA - Mexico City\nApril 2011 to May 2014\nLargest mass media company in Latin America, publicly traded on NYSE, with $5+ Billion annual revenues.\n\u2022 Forecasted revenues and expenditures to advise management on future budgeting\n\u2022 Leveraged Oracle ERP and Excel to conduct monthly and quarterly variance analysis, containing comparison between actual costs and predicted costs\n\u2022 Forecasted quarterly and annual operating results while supporting cost center owners in basic financial analysis\n\u2022 Managed $200M of operating expenses for various areas within G&A\nKey Contributions:\n-Prepared 2012, \u201913, & \u201814 budget by analyzing past expenses, new investments, budget requests from cost centers, and communicating with third-party vendors\n-Improved Finance workflow efficiency +40% by identifying mundane processes that caused productivity bottlenecks']",[u'Bachelors of Science in Corporate Finance/ Business Management'],[u'University of Phoenix\nJanuary 2010']
0,https://resumes.indeed.com/resume/0f4a7bbcf4c7a72b,"[u'Sr. Financial Analyst\nSenergy Inc - Atlanta, GA\nMarch 2015 to Present\nMember of a Financial Services team responsible for financial data analytical reporting,\nmanaged financial projects, and supporting all levels of management teams nationally.\no Prepared the monthly financial reports for Financial team, including revenue, budget,\ntarget and forecasting, and verified the accrual dollar amounts based on the database.\no Created the pivot table on the daily financial reporting, analyzed on the national billing\nrequirements, general ledge account and other projects such as cash flow.\no Worked on the financial planning, financial data conversion, and Ad Hoc financial\nreporting per request from internal client.', u'Financial analyst\n21st-Century Media LLC - Pontiac, MI\nMay 2012 to October 2014\nMember of a Shared Financial Services team responsible for financial data analytical\nreporting, managed various financial projects, and supporting all levels of management\nteams nationally.\n\u25e6 Prepared the daily and monthly financial reports for Shared Financial Services team for different regional areas around the country, including revenue, budget, target and forecasting, and verified the accrual dollar amounts based on the database.\n\u25e6 Provided specific financial reports including lineage reports, preprint quantity reports, and other specific projects. Worked through several system conversions, acquisitions and other special projects, and as a key player in making change a success, and helpful in solving problems quickly.\n\u25e6 Provided and updated the weekly and monthly call center sales and revenue reports, these are based on the accuracy financial data and documentations in the systems.', u'Financial Analyst\nHewlett Packard - Pontiac, MI\nApril 2011 to December 2011\nMember of a HP shared services team responsible for streamlining and centralizing\nbilling, procurement, and asset management nationally.\n\u25e6 Provided the monthly financial revenue, expense and profit reports, and verified the accrual dollar amounts by used Hyperion Essbase and other specific software.\n\u25e6 Created the million dollar national invoices for several contract accounts, and managed and document all change requests with electronic invoicing system.\n\u25e6 Analyzed national billing requirements and contracts. Created Ad Hoc reports in order to fulfill any business requirements needed by the national team.\n\u25e6 Prepared and updated the financial forecasting data by following the procedure for improvement of accuracy financial data and documentations in the systems.', u""Financial Analyst\nTetra Tech, Inc - Denver, CO\nMarch 2009 to March 2011\nMember of Procurement Systems team responsible for data cleansing, managing financial projects, and supporting the company's core values of integrity, teamwork and respect for each other.\n\u25e6 Prepared the monthly financial reports, include revenue, expense and profit reports, and verified the accrual dollar amounts by used Hyperion Essbase and other specific software.\n\u25e6 Transferred and maintained the financial data from Access, SQL, SQL server onto the Excel, and calculated the revenue, expense and profit on the dollar amounts.\n\u25e6 Managed on the forecasting data for the forecasting reports, evaluated the company's performance on the comparison to competitors through the industry standards analysis in order to achieve compliance with industry quality standards.\n\u25e6 Produced the special reports and analysis upon request, such as Dashboard data reports, financial planning reports, and historical financial data analysis."", u'Financial Analyst\nHewlett Packard - Boise, ID\nJune 2006 to September 2008\nMember of high performance IPG financial team responsible for IPG financial data cleansing, managing various financial projects, and supporting to all levels of management teams globally.\n\u25e6 Prepared the weekly and monthly financial reports for all projects including Enterprise, Public Sector, and SMB by used Hyperion Essbase and other specific software, and created the Pivot tables on the reports.\n\u25e6 Maintained and supported the monthly financial supplies data for sales & marketing, and made comparisons to previous data reports as well as with budget reports.\n\u25e6 Provided the IPGA financial BB Metrics reports, evaluated costs by department managers for reducing spending, managed and refined the purchase order pre-approval procedure.\n\u25e6 Analyzed the financial data and created the requirement documentations in order to fulfill any business requirements needed by the IPG global team.\n\u25e6 Created the Ad Hoc reports upon request, such as IPGA data reports, SMB Dashboard data report and financial planning reports.', u""Financial Analyst/Accounting Manager Assistant\nAnnie Trading Corp - New York, NY\nMarch 2000 to October 2005\nMember of motivated finance and accounting team responsible for financial and accounting data cleansing, managing financial and accounting projects, and tracking all\nfinancial and accounting data in order to improve strategic and planning.\n\u25e6 Managed and maintained the general ledger accounts, analyzed operation costs to enhance the profit based on the revenue and earnings.\n\u25e6 Reconciled general ledger accounts balances on a monthly basis and utilized the accounting data for financial reports and analysis.\n\u25e6 Evaluated the cooperate performance and analyzed the various financial ratios. These ratios were then compared with industry standards in order to enhance the company's sales and profits.\n\u25e6 Transferred and maintained the accounting data to financial analysis data, developed a model to set the profit rate, which is determined by considering sales, operation costs, interest rate, inflation rate and earnings before tax, and created the Ad Hoc reports for the team in order to satisfy the specific requirements needed by the global team within the company.""]","[u'M.B.A. in Finance & Management Information Systems', u'Master of Science in Economics']","[u'University of Missouri Kansas City, MO', u'University of Missouri Columbia, MO']"
