,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/2cdf3e54a42c6ff5,"[u'Marketing Director\nChick-fil-A Bradley Park - Columbus, GA\nJuly 2016 to Present\nsan.rich38@gmail.com \u2022 Partner with Operator to formulate a yearly marketing plan;\nBudget, plan, and execute seasonal campaigns and marketing\nhttps://www.linkedin.co events.\nm/in/sandi-richmond- \u2022 Provide district-wide marketing communication support for 78a90319/ Columbus/Phenix City area\n\u2022 Develop and implement policies and procedures to increase sales\nColumbus, GA goals.\n\u2022 Hire, Train, Supervise, Evaluate, and Discipline team of 6\nmarketing team members.']",[u'Bachelor of Science in Personal Assistant'],"[u'Bauder College Atlanta, GA\nOctober 2010 to February 2012']"
0,https://resumes.indeed.com/resume/033561d06653e8f9,"[u'DESIGN AND MARKETING DIRECTOR\nBM Merchandising Co - Avenel, NJ\nJanuary 2015 to Present\n\u2022 Manages all Private Label and Branded design development from\n\u2022 Two-Sport Athlete\nconcept to completion.\n\u2022 Communicates with and travels to our factories overseas.\n\u2022 Commonwealth Grant Winner\n\u2022 Generates all Sales in the Junior Division and in charge of all buyers\nand accounts.\n\u2022 Volunteers in Action Club']",[u'B.S in Fashion Design'],"[u'Mount Ida College Newton, MA']"
0,https://resumes.indeed.com/resume/ceea270533e7157b,[u'Marketing Director/Sales'],[u'Some college'],[u'']
0,https://resumes.indeed.com/resume/989e2d6e9ec74bd6,"[u'DIRECTOR OF MARKETING\nNEW LINE SMILE\nMay 2005 to Present\nDaily duties included direct b2b advertising and hitting set goals. Have built teams of more than 10 people. Also developing new business ideas for future advertising. Definitely an expert on talking, persuading and closing. Have found out over the years that the main reason why people buy is because they like you.']",[u'High school or equivalent'],[u'']
0,https://resumes.indeed.com/resume/7ca8d015d2e9ca5f,"[u'Director of Marketing\nOAK LEAF MANOR RETIREMENT HOMES-Landisville and Millersville\nJanuary 2014 to January 2017\nResponsible for maintaining 100% occupancy of 230 beds in both locations.', u'Sales\nRetired\nJanuary 2012 to January 2014', u'Director of Marketing\nCOUNTRY MEADOWS RETIREMENT COMMUNITY\nJanuary 1997 to January 2012\nResponsible for maintaining a 100% occupancy rate and for in-house marketing functions.', u'Director of Marketing\nOAK LEAF MANOR-Landisville\nJanuary 1994 to January 1997\nResponsible for obtaining a 100% occupancy for the 110 bed assisted living facility and for in-house marketing functions.', u'Marketing Counselor\nMASONIC VILLAGE\nJanuary 1992 to January 1994\nResponsible for obtaining a 100% occupancy for the 236 unit independent living community.', u'Executive Director & Director of Marketing\nCOUNTRY MEADOWS RETIREMENT COMMUNITY\nJanuary 1987 to January 1992\nSelected by former Governor George M. Leader for total responsibility of original building, grounds, hiring staff, maintaining building, supervising all personnel, maintaining good resident satisfaction and consistently maintaining 100% occupancy.', u'Owner/President\nHEALTH-FAX - Altoona, PA\nJanuary 1978 to January 1987\nAs an R.N., I developed the start up and maintenance of the company that performed insurance examination services as well as fitness programs for commercial industries. My 25 registered nurses collected medical data for insurance purposes serving all counties in Pennsylvania. The industrial employees were trained by me in fitness and nutrition.']",[u'License'],[u'The Harrisburg Polyclinic Hospital School of Nursing']
0,https://resumes.indeed.com/resume/d71102c134f32867,"[u'Marketing Director\nHolistic Acupuncture & Physical Therapy Center - Gaithersburg, MD\nPresent\nI make phone calls to Doctor offices and assist the therapist.']",[u'BS in Social Work'],"[u'J.M.U. Harrisonburg, VA\nMay 1975 to August 1975']"
0,https://resumes.indeed.com/resume/495cc100b8c38ffd,"[u'Marketing Director\nHydroacoustic Tech., Inc - Seattle, WA\nJanuary 2004 to January 2017\nHelped grow a small environmental business into a world-class global technology company and eventually position for international acquisition.\n\nExecuted all marketing, events and training in addition to hiring and management administrative staff.\n\nRebranded company identity (brought all graphic design, photography and video production in-house), re-designed equipment packaging., built communities, hosted events and conducted training.\n\nWrote press releases, conference posters, oral presentations of international research/studies for conference engagements and industry publications.', u'Marketing Manager / Administrative Manager\nBarclay Dean, Inc. \u2013 General Contractor - Issaquah, WA\nJanuary 2002 to January 2004\nCreated strategic branding & communication initiatives for a general contractor, including PowerPoint Presentations, promotional/advertising in print and digital for construction partnerships, architectural firms and developers.\n\nSupported various departments and administrative teams.\n\nCreated and managed organizational systems throughout.', u'Marketing Director\nRaskin & Associates, Inc. \u2013 Commercial Real Estate Services - Kirkland, WA\nJanuary 1997 to January 2002\nCreated strategic branding & marketing communications for a commercial real estate firm.\n\nManaged multi-faceted projects and events with multiple stakeholders across different industries.\n\nDesigned flyers, newsletters, presentations, posters, visual assets and more to a national audience.\nManaged administrative staff as well as company events/meetings.']","[u'Certificate in Social Media & Online Marketing', u'BA in Sociology, Communications', u'Certificate in Integrated Marketing Communications', u'External Programme in Anthropology, Communications']","[u'University of San Francisco San Francisco, CA\nJanuary 2011', u'University of Washington-Seattle Campus Seattle, WA\nJanuary 2003 to January 2006', u'University of Washington-Seattle Campus Seattle, WA\nJanuary 2003', u'University of London London, England\nJanuary 1992']"
0,https://resumes.indeed.com/resume/9725d896a61a0de1,"[u""Marketing Director\nThe Lenkin Company Management Inc - Washington, DC\nMay 2015 to Present\nWashington, District of Columbia\n\u2022 Responsible for the start / implementation of a digital marketing plan for the residential portfolio\n\u2022 Responsible for the daily updates to all the online advertising for the residential portfolio and the detailed photographs of all available units\n\u2022 Responsible for the creation of new resident move-in materials and creation of flyers as needed for resident events and marketing materials\n\u2022 Lead Team Member of the redesign of The Lenkin Company Corporate Website www.lenkin.com\n\u2022 Responsible for helping Property Manager's and Assistant Property Manager's with leasing questions and resident retention\n\u25e6 Partnerships with Pressbox Dry Cleaning Service, SpotLuck, and DC Fray\n\u2022 Responsible for making sure all advertising, leasing materials, and materials for prospective residents are in compliance with Fair Housing and DC Housing Laws\nAssociation Involvement\n\u2022 Member Property Management Association PMA\n\u25e6 Co-Chair of Summer Classic Committee\n\u2022 Member of Crew Real Estate Women Northern Virginia Chapter CREW NoVA\n\u25e6 Committee Member of the Special Events Committee\n\u2022 Member of Apartment & Office Building Association of Metropolitan Washington AOBA\n\u2022 Member of National Apartment Association NAA""]",[u'Bachelor of Science'],[u'Virginia Polytechnic Institute and State University\nMay 2016']
0,https://resumes.indeed.com/resume/669cb9c84e585ca1,"[u'Manager/Marketing Director\nSelma Six Cinemas - Selma, CA\nJanuary 2014 to Present\nManage a team of workers while overviewing entire establishment. Responsibilities include: Accounting for assets, daily revenue, payroll tracking, and petty cash audits. Input and transfer information using accounting software to manage daily financial activities such as summary reports, sales reports, cashier reports, payroll reports and other financial reports.\n\u2022 Significantly enhanced office operations efficiency, productivity and quality through strategic organization and implementing spreadsheet reporting.\n\u2022 Entrusted with producing financial performance reports for owner presentation and preparing bank deposit documentation\n\u2022 Demonstrated strong organizational skills in maintaining inventory and cash flow records\n\u2022 Market show times, products and upcoming events to the public using various social media platforms and websites, increase social media awareness and maintain a strong internet presence.\n\u2022 Manage multiple marketing campaigns to attract new customers and maintain customer relations']","[u'Bachelor of Science in Business', u'Associate of Science in Business']","[u'California State University Fresno, CA\nDecember 2017', u'Reedley College Reedley, CA\nMay 2014']"
0,https://resumes.indeed.com/resume/657865407f46b50c,"[u'Marketing Director\nSteel Creek American Whiskey Co. - Tacoma, WA\nJune 2013 to Present\nDevelopment and deployment of core company brand. Managment of all Social Media assets. Creation and implementation of Facebook custom audiances. Management of all digital and print assets. Cordination of new marketing campaigns to drive sales and new lead generation. Cordination of remarketing campaigns to communicate with existing customers. Develop new events and strategies to maintain customer engagement. Coordination of all concert events, ticket sales and ad buys. Coordination of all graphic design, video production and photography needs. Develop and maintain Facebook ad buying strategies. Provide tracking and analytics of all website traffic, and relevant ad traffic/data.', u'Marketing Director\nThe Vault Catering Co. - Tacoma, WA\nJune 2013 to Present', u'Marketing Director\nEmblem Nightclub - Tacoma, WA\nJuly 2015 to April 2017', u'Marketing Director\nEncore Boutique Nightclub - Tacoma, WA\nDecember 2011 to June 2015', u'Marketing Director']",[u'Associate'],[u'']
0,https://resumes.indeed.com/resume/03b6854dee29b2ae,"[u'Marketing Director\nScience First - Yulee, FL\nDecember 2009 to October 2014']",[],[]
0,https://resumes.indeed.com/resume/f960d2da39359e62,[u'Marketing Director\nStotz & Fatzinger Office Supply\nAugust 2009 to Present\n\u2663 Identified and pursued marketing opportunities through analysis of profit reports and order history \n\u2663 Improved client contact rates by 10% by implementing online marketing through Constant Contact \n\u2663 Boosted sales and customer loyalty by conducting personalized client training sessions'],"[u""Master's""]",[u'']
