,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/c2279f6222fa81a1,"[u'Service Advisor\nNES - Nashville, TN\nDecember 2014 to Present\nResolve a weekly average of 400 customer calls and collect a weekly average of $75,000 current and past due invoices\n\u2022 Provide top level of quality control when processing restoral of service order\n\u2022 Collections experience on past due invoices, and outstanding accounts\n\u2022 Provide accurate, relevant information in regards to customer satisfaction\n\u2022 Establish competent service, by answering questions or concerns regarding customer bills, suspend service, and make payment arrangements on past due/current accounts\n\u2022 Facilitate numerous learning programs', u'Operation Service Specialist\nService Source - Nashville, TN\nJune 2013 to Present\nGenerate sales quotations, using client-specific database and financial systems\n\u2022 Book packages and/ or invoices within Client and Internal systems\n\u2022 Ensure the integrity of client and internal information in database, financial and CRM systems\n\u2022 Manage external and internal queries in a professional, client-orientated manner\n\u2022 Check the data integrity of purchased orders and invoices\n\u2022 Train new hires with booking and quoting\n\u2022 Lead team data, compliance, quality control and marketing meetings\n\u2022 Revise processing gaps\n\u2022 Resolve client/agent status on accounts\n\u2022 Update client/agent information and account status', u'Case Manager\nAetna Insurance - Franklin, TN\nAugust 2011 to March 2013\nProcessed new business applications and files\n\u2022 Managed vendors to collect information required for underwriting applications.\n\u2022 Responded to in/outbound client calls, email inquiries from applicants and ensure the highest level of service\n\u2022 Sorted files, licensing issues, and agent issues\n\u2022 Provided secured level of Quality Control when preparing and implementing clients policies\n\u2022 Verified clients/agents insurance eligibility/benefits\n\u2022 Verified applications for underwriting for client errors\n\u2022 Collected payments on defaulted accounts\n\u2022 Entered and verified data from clients, agents and doctors\n\u2022 Medical Coding and Billing']",[u'Bachelor of Science in Business Management'],[u'Walden University\nJune 2013']
0,https://resumes.indeed.com/resume/0f76474da7bc692a,"[u'Mall Operation Manager\nAugust 2015 to Present\nPHONE Supervising the retail operation at al Seef village mall, Establish\n0567525876 and maintain confidential and comprehensive tenancy records,\nReport weekly on tenancy issues including to the Tenants Services\n\nEMAIL', u'Operation Manager\nJannah Burj Alsarab Hotel\nJune 2014 to July 2015\nSetup the evacuation plan for whole the 19 floor,\nPre opening experience with the hotel snagging report with all\nADDRESS construction details, building management system\nKhalifa City -St 80 -Village 08', u'Site Supervisor @Majed Al Futtaim Group /Al Shourouq City Centre\nPRO at Qasr Alsarab Desert Resort by Anantara\nJuly 2010 to April 2015\nJuly 2010 - April 2015\nLiaise with CID and all ABU Dhabi Authority, conducting business\nrelation, planning, developing and implementing PR strategies according to the hotel SOP\nSite Supervisor @Majed Al Futtaim Group /Al Shourouq City Centre\nJuly 2009 - May 2010\nCoordinate with all the new retails requirements, pre-opening\nachievements for 9 F&B together with the retails operation team.']","[u'B.A degree in English', u'']","[u'Faculty of Social work\nMay 2009', u'Fayoum University in Egypt']"
0,https://resumes.indeed.com/resume/a42ade4ec7e7e5b3,"[u'Transportation Equipment Operator\nDetroit Department of Transportation - Detroit, MI\nOctober 2017 to March 2018\nDriving motor coach transporting customers from destination to another', u'Chauffeur\nBrentwood Executive Transportation - Fraser, MI\nMarch 2015 to March 2018\nTransporting Executives from business meetings to and from airport', u'Operation Manager Assistant\nPremier Parking Services - Detroit, MI\nJune 2011 to November 2015\nOverseeing day to day operations supervising over 200 employees', u'Valet Driver\nMotor City Casino Hotel - Detroit, MI\nJune 2005 to January 2011\nParking and retrieving automobiles for casino customers']",[u'in General studies'],"[u'Osborn High School Detroit, MI\nJanuary 1978']"
0,https://resumes.indeed.com/resume/323cb418529a7d9c,"[u'Supervisor/Foreman\nMobile Maintenance\nJanuary 2014 to January 2015\nManaged a mobile crew doing maintenance on fracturing units\nSupervised employees at various sites\nLocated units to be served\nConducted headcount of employees at designated sites\nConducted pretrip inspections for tools/filters\nInitiated technical inspections of all assigned sites', u""Owner/President/Manager\nJ.C. & K's Trucking LLC\nJanuary 2013 to January 2015\nHired personnel\nConducted orientations on employee safety\nProvided maintenance on trucks\nSupervised personnel\nPrepared and maintained records in accordance with company policies and procedures\nAssisted in resolving customer issues\nDrove trucks to specified destinations\nDelivered goods to designated places\nAssisted with loading and unloading of trucks\nPicked up and load returned products\nCompleted driver, route and gas logs\nCharted out best routes for delivery\nPerformed customer services tasks at the time of deliveries\nCleaned and maintained vehicle\nCarried out preventive maintenance tasks on a regular basis"", u'Water Treatment/Operation Specialist\nBasic Energy\nJanuary 2013 to January 2013\nPerformed backwash procedures to treat water with PH Chemical Solution\nRan onsite light generators to provide visibility to incoming trucks\nMonitored tanks for leaks and spills\nChanged media at time of pod change\nRan pumps and maintained 10 tanks with raw water tanks\nKept water levels up on pulling from raw tanks to 28 tanks\nReceived classroom training\nFollowed OSHA rules and regulations\nSupervised a team of technicians\nConsistently met health standards', u'Water Treatment/Operation Specialist\nHydrozonix LLC\nJanuary 2011 to January 2013\nManaged the reactor unit operator controls to destroy bacteria\nEstablished components of the UnitEF80\nMonitored pressure of water being treated while fracturing was in operation\nConducted maintenance on the UnitEF80\nChanged pumps working on ORP, Ph, and CE probes.\nPrepared cleaning methods and changed out probes to secure readings of the process water\nTreated and collected lab samples from units\nCleaned reactor screens after every fracture\nPrepared a JSA daily at the start of each shift', u'Lab Operator\nSybron Chemicals Inc - Birmingham, NJ\nJanuary 2007 to January 2010\nRetrieved chemicals and transported samples to QC Lab TCC chemical operator fills in lead operator shift\nRepaired pumps and replaced pumps\nFollowed OSHA rules and regulations\nSupervised a team of technicians\nConsistently met health standards']",[u'in Criminal Justice'],[u'Ashford University\nJanuary 2010 to January 2013']
0,https://resumes.indeed.com/resume/a00a8c1a444cbff1,"[u'Sales Supervisor / Floor Manager\nLenscrafters Luxottica Group\nAugust 2016 to Present\n\u2022Maintain all HIPAA and company required reports\n\u2022Participate In regional team conference calls and enforce company standards.\n\u2022Excellent ""go to guy"" between General Manager and sales and lab personnel.\n\u2022Perform payroll duties on a weekly basis.\n\u2022Supervise up to 6 personnel on the sales floor and 3 lab associates while assuring the business operates smoothly.\n\u2022 Maintain customer satisfaction while obtaining daily sales goals set forth by the company.\n\u2022Coaching and training personnel in making the business better.\n\u2022Greet and assist customers in selecting eye glass lenses and frames tailored to their lifestyles.\n\u2022Maintain a pleasant and professional devotion to customers in all scenarios to ensure customer retention.\n\u2022Utilize the Accufit for frame measurements and the tablet for Insurance application, Find Your Look, My Look, Lens Simulator, and the Lens Pricing Apps.\n\u2022Operate the point of sale terminal to complete the customer\'s transaction.\n\u2022Perform eyeglass frame adjustments and repairs upon customer\'s request\nSales associate\n\u2022 Greet and assist customers in selecting eye glass lenses and frames tailored to their lifestyles.\n\u2022 Maintain a pleasant and professional devotion to customers in all scenarios to ensure customer retention.\n\u2022 Utilize the Accufit for frame measurements and the tablet for Insurance application, Find Your Look, My Look, Lens Simulator, and the Lens Pricing Apps.\n\u2022 Operate the point of sale terminal to complete the customer\'s transaction.\n\u2022 Perform frame adjustments and repairs upon customer\'s request', u""Production Operation Specialist\nCox Oil and Gas\nJuly 2016 to August 2016\n\u2022 Optimize and maintain oil and gas production and perform daily and preventive maintenance on facility's containing three phase equipment, utilizing gas lift for artificial lift of oil.\n\u2022 Experience with chemeletric treater, glycol dehydration, reciprocating gas compressors, gas turbine generators, thermalane waste heat recovery system, and artificial lift.\n\u2022 Some of the operator daily duties consist of but are not limited to; supervising contract crews working on various project on the facility, work in equipment reliability tracking system, entering and updating work orders, work in smart safety and compliance system, well testing, record keeping, safety device testing, operate, troubleshoot, repair, maintain process and utility systems, perform normal crane and/or rigging operations, operate and monitor Supervisory Control And Data Acquisition (SCADA).\n\u2022 Knowledge of MS Office (Word, Excel, Outlook, etc.)"", u""Production Operation Specialist\nChevron Gulf of Mexico\nSeptember 2010 to July 2016\n\u2022 Optimize and maintain oil and gas production and perform daily and preventive maintenance on facility's containing three phase equipment, utilizing gas lift for artificial lift of oil.\n\u2022 Experience with chemeletric treater, glycol dehydration, reciprocating gas compressors, gas turbine generators, thermalane waste heat recovery system, and artificial lift.\n\u2022 Some of the operator daily duties consist of but are not limited to; supervising contract crews working on various project on the facility, work in equipment reliability tracking system, entering and updating work orders, work in smart safety and compliance system, well testing, record keeping, safety device testing, operate, troubleshoot, repair, maintain process and utility systems, perform normal crane and/or rigging operations, operate and monitor Supervisory Control And Data Acquisition (SCADA).\n\u2022 Knowledge of MS Office (Word, Excel, Outlook, etc.).\n\u2022 Currently oil and gas measurements champ for the SPPG field.\n\u2022 Maintain all required classroom and Computer training.\n\u2022 Actively participate in CVX safety program.\n\u2022 Assist in any LEAN SIGMA on the facility and I am the field Relief Health Environmental and Safety Coordinator.\n\u2022 3 BSEE INC Free inspections while working at Chevron"", u""Lead Production Operator\nOil and Natural Gas - Lafayette, LA\nFebruary 2002 to September 2010\n\u2022 Stationed on Loop 35 containing 10 facilities and 6 customer contracts as a Loop Lead Operator.\n\u2022 Duties include but not limited to are: various paperwork for all government agencies and company requirements, well testing, crane operations, oversee contract crews, troubleshooting daily dilemmas, and maintaining production while minimizing downtime.\n\u2022 5 BSEE INC free inspections in 2010 (4 of the 5 are producing facilities)\n\u2022 Operated Island's Loop 33 as an A-operator from November 2007 - May 2009\n\u2022 Achieved Platform Lead Operator position in July 2006 - thru October of 2007 (sale of Newfield to Freeport McMorran)\n\u2022 Maintained a 5 year Newfield contract asaC&B-operator\n\u2022 Worked on separate Devon & Samedan contracts as a C-operator"", u'CNC Machinist\nOctober 2000 to February 2002\nCooper/Cameron Valves, Ville Plate, LA\n\n\u2022 Operated CNC vertical lathe\n\u2022 Machined new and used ball valves for the oilfield\n\u2022 Machined 6"" 1500psi up to 24"" 10,000psi valves']",[u'High School Diploma'],"[u'Sacred Heart High School Ville Platte, LA\nAugust 1996 to May 2000']"
0,https://resumes.indeed.com/resume/a4f55ba429bd6007,"[u'General Manager\nMV Transportation - Union City, CA\nMay 2017 to February 2018\n\u2022 Effectively manage customer relations through both direct contact and outreach programs.\n\u2022 Identify, select, train and mentor location staff.\n\u2022 Effectively and frequently communicate with location staff and support team members.\n\u2022 Oversee vehicle maintenance plan and ensures fleet availability to meet service requirements.\n\u2022 Oversee safety and training programs, plans and processes to ensure compliance with company, contract and regulatory requirements.\n\u2022 Maintain client contact routinely to meet and exceed expectations.\n\u2022 Conduct periodic departmental audits.\n\u2022 Conduct daily, weekly and monthly review of key operational metrics.\n\u2022 Ensure all location financial metrics are managed continuously, exceptions are reported and action plans are developed to ensure the location meets it financial, safety and operational expectations.\n\u2022 Implement, promote and adhere to company policies and procedures.\n\u2022 Interact with bridges committee to effectuate positive changes to policies, procedures and programs.\n\u2022 Participate in location(s) labor and employee relations activities.\n\u2022 Provide insight and information to support location(s) contract renewals.\n\u2022 Create and present location(s) annual budget.', u'Transportation Manager\nCenter for Elders Independence - Oakland, CA\nMay 2016 to April 2017\n\u2022 Provided safe, efficient and reliable transportation to all participants, to and from the Day Health Centers and outside medical appointments. This involved supervising the Fleet Manager and a team of drivers, coordinating resources and directing operations.\n\u2022 Monitored all quality assurance indicators; maintained appropriate records and recommended change if necessary meet to standards.\n\u2022 Handled emergency road situations according to Insurance and CEI policies and carried out investigations, data collection and analysis of transportation incidents and/or complaints from citizens. Reported findings and assisted in developing resolutions and plans to avoid future incidents.\n\u2022 Conducted staff meetings and attended management and interdisciplinary team meetings.\n\u2022 Planned, developed, and recommended current and future needs of the department in accordance CEI transportation needs.\n\u2022 Identified goals and objectives for the department, planned for growth and/or change, and established metrics for success and follow-up on progress.\n\u2022 Made decisions on the purchase of new vehicles and other resources.\n\u2022 Performed an initial evaluation of participants transportation needs and re-evaluated as needed.\n\u2022 Followed all CEI Policies and Procedures, OSHA safety guidelines.\n\n\u2022 Maintained the confidentiality of all company procedures, results, and information about participants, clients or families regardless of setting.\n\u2022 Handled potentially infectious specimens with appropriate biohazard precautions, and practices.\n\u2022 Initiated and completed annual performance evaluation of all drivers and appropriate personal.\n\u2022 Screened all participants for qualified candidates; scheduled and conducted interviews and driving tests with prospective drivers as well as making final hiring recommendations', u""Operation Manager\nPorts America Corporation - Oakland, CA\nApril 2013 to April 2016\n\u2022 Partnered with planners, superintendents, vessel operators, gate and yard personnel and others to develop efficient plans to load and unload vessels.\n\u2022 Ensured high levels of safety, productivity, customer service and efficiency in all areas of Terminal Operations, enforcing area accident prevention/safety and workers' compensation procedures\n\u2022 Ensured efficient and productive planning and execution of operating plans, regularly auditing successes and failures designed to achieve company goals and objectives.\n\u2022 Set the standard for providing the direction, supervision and development of Terminal/Marine Operations and keeping Sr. Leadership informed of operational deficiencies, proposing plans for improvement including implementation of new processes and procedures to adopt within the organization.\n\u2022 Responsible for an approximate $35 million annual labor expenses including and operating within approved fiscal budget limits, ensuring targeted P&L results.\n\u2022 Developed and maintain positive customer port relations, by understanding customer needs, terms and conditions of contracts, developing plans to meet those needs and ensuring that yard, gate, marine and rail personnel demonstrate appropriate customer service principles at all times.\n\u2022 Ensured all company policies, procedures and controls are understood and followed and reports are completed accurately and submitted in a timely fashion to the appropriate employees, customers and other personal as appropriate."", u'Regional Operation Manager\nBaxter Health Care - Dixon, CA\nApril 2012 to March 2013\n\u2022 Responsible for day-to-day management of several field distribution operations. Ensured field operations provided quality and cost effective service. Responsible for fleet management, regulatory compliance, forecasting, local vendor management including Cardinal, commercial delivery, and back up labor for the following regions: Portland or, Seattle WA, Boise, Id and Dixon Ca.\n\u2022 Directly managed private fleet ensuring customer requirements were met in an efficient and cost effective manner. Managed non-exempt employees that may be located centrally and off-site.\n\u2022 Hired, evaluated and developed staff in order to sustain the level of performance and productivity necessary to achieve current and future company objectives.\n\u2022 Maintained and developed effective customer relations by recognizing and exceeding customer expectations.\n\u2022 Developed and implemented key performance indicators and performance objectives and ensuring that all metrics and performance objectives were achieved.\n\u2022 Accountable for operational compliance with divisional, corporate, state, and federal regulations including EH&S, OSHA, FDA, and DOT.\n\u2022 Established and communicated company operating and administrative procedures intended to provide required information and facilitate company standard practices.', u'Operation Manager\nPorts America Corporation - Oakland, CA\nApril 2007 to April 2012\n\u2022 Responsible for the leadership and development of operational and financial goals and objectives.\n\u2022 Ensured high levels of safety, productivity, customer service and efficiency in all areas of the Terminal and/or Marine Operations.\n\u2022 Ensured safe, efficient and productive planning and execution of operating plans, regularly auditing successes and failures related to such plans and established corrective actions accordingly.\n\u2022 Set the standard and was held accountable for the direction, supervision and development of Terminal/Marine Operations and for keeping Senior Management informed of operational deficiencies, offering suggestions and plans for improvement.\n\u2022 Responsible for an approximate $12 million annual labor expenses which includes, ordering, planning and managing union labor on various shifts within budgeted guidelines.\n\u2022 Developed and maintain positive customer port relations by understanding customer needs, terms and conditions of contracts, developing plans to meet those needs and ensuring that yard, gate, marine and rail personnel demonstrate appropriate customer service principles at all times.\n\u2022 Assessed and determined appropriate labor and equipment needs for every vessel, ensuring availability of labor, and that the appropriate equipment is available and in safe working condition.\n\u2022 Implemented new processes, procedures and technologies into the workplace, including the administration of all supporting operational or procedural modifications related to port operations.\n\u2022 Ensured all company policies, procedures and controls are understood and followed and reports are completed accurately and submitted in a timely fashion to the appropriate employees, customers and other personal as appropriate.', u""Senior Superintendent\nPorts America Corporation - Oakland, CA\nJune 1999 to April 2007\n\u2022 Managed all aspects of an ISO Certified stevedoring operation at the Port of Oakland.\n\u2022 Maintained positive relations with labor (90+ longshoremen) and union officials through regular meetings, formal policy communications and maintaining a thorough knowledge of contracts and company policy, working with third party off-site planners and adhering to a rigid union contract.\n\u2022 Ensured a high level of safety, productivity and customer service to Yang Ming, Wan Hai, Cosco and Hanjin shipping lines maintaining efficiency in all area of terminal operations.\n\u2022 Responsible for annual labor expenses that include, ordering, planning and managing union labor on various shifts within budgeted guidelines. Comply with area accident prevention and workers' compensation programs and procedures.""]",[u'BS in Transportation Logistics Management'],[u'San Francisco State University\nJanuary 1991 to January 1995']
0,https://resumes.indeed.com/resume/f9729a36dc335d99,"[u""Denial Specialist\nGenova Diagnostics - Asheville, NC\nAugust 2015 to January 2017\nWork patient accounts to ensure appropriate adjudication and payment of claims. Processes re-bills, appeals and processes adjudication information. Make corrections to patient accounts in billing system to obtain reimbursement for claims. Processes patient accounts to ensure appropriate payments and posting of payments. Uses web resources, imaging system, A/R system, clearing house and other Genova systems in the course of working to obtain information such as patient's Medical Records, Doctor's notes, Claims or EOB's (explanation of benefits). Forward EOB and Insurance remittances to Denial Management for review and further action via correspondence coding. Handling NSF (non-sufficient funds) check returns by re-depositing and re-posting payments. Research credit card charge backs and re-post payments if needed. Transfer of payments to move and correct payment posting. Create and complete all response posting safety net reports due to help minimize account coding errors. Regularly contacts Insurance carriers via telephone calls to work third party accounts receivable. Also, contact physician offices, client offices and patients in the course of resolving third party accounts receivable. Processes, follow up, take actions in a timely manner based on working denials and aging reports."", u""Payment Refund Specialist\nMission Hospital - Asheville, NC\nJanuary 2012 to January 2015\nDaily posting of all Cash categories including payments by check and Credit Cards from Patients and Commercial Insurances (manual and electronic). Pull electronic fund transfer reports from clearinghouse, review denied charges and post Insurance denial codes on patient's accounts. Process and monitor refund and refund requests. Post adjustments for daily requests and bad debt write offs. Processing of daily credit cards through the Trust Commerce system for patient prepay payments. Handling NSF (non-sufficient funds) check returns. Maintain close contact with finance department regarding balancing of refund checks for processing and posting. Post payment transfer requests to move and correct payment posting. Establish customer relations within the revenue cycle staff, physician offices, Insurance companies and patients. Review and process notices to recoup payments from government Insurance payers and commercial Insurance payers. Contact Insurance companies for follow up regarding overpayments/recoup. Fax CMS (Centers for Medicare Services) letters for processing where necessary. Communication between departments with physician follow up team to insure proper processing regarding Insurance correspondence. Research and resolve back log of refunds due to current and/or deceased patients. Contact and established proper documentation from attorney to verify estate prior to refunding family members of deceased patient.\n\nGwendolyn Taye 828-712-3462"", u'Hospital Cashier\nPark Ridge Hospital - Fletcher, NC\nJanuary 2009 to January 2011\nVerify insurance payments from insurance companies and balance to summary sheet from bank records. Batch check copies according to insurance companies. Record batches onto spreadsheet. Verify and balance spreadsheets for deposit from lockbox safe. Balance daily deposits from all 50 Park Ridge Medical physician offices and input totals on excel spreadsheet. Also, balance all 20 Takoma Medical physician offices and record deposits on to Takoma spreadsheet. Account receivables for Park Ridge and Takoma Hospital. Receive and balance pre-deposits from patient financial services. Review and balance Credit Card Settlement report daily. Prepare all deposits for bank drop. Post unidentified payments. Outbound calls made to patients when necessary. Resolved any outstanding balances from bank ledger report.', u'Assistant Operation Manager\nAlliance Corp - Fletcher, NC\nJanuary 1999 to January 2009\nPrioritize and coordinate office workflow. Provide and/or coordinate full loan service functions for all 6 Alliance Schools. Research and resolve customer problems and inquiries regarding their loan account and credit file. Served as principal liaison with attorney, bankruptcy trustee, credit agencies and consumer credit counseling services. Maintain and process all consumer dispute verification forms and bankruptcy documentation to include Chapter 7 and Chapter 13 bankruptcies.\nPerform accounting functions to include journal entries, accounts receivables, deposits and bank reconciliation. Responsible for generating monthly, quarterly and year end reports to CFO of company. Audit documents to include underpayment/overpayment and rate changes. Approved adjustment requests against payment history.\nSupervisor of collections department with a staff of 10 employees. Out bound telephone collection calls made to customers of past due and charge off accounts. Generated standard collection letters using word document. Inform customers in regard to their account status, payment options and set of financial payment plan. Decision maker regarding settlement accounts, credit bureau and fraud account functions.']",[u''],[u'Laney College\nAugust 2014']
0,https://resumes.indeed.com/resume/219596d3c1e0d7cf,"[u'Regional Operation Manager\nFellers, Inc - Brentwood, MO\nJune 2008 to January 2018\n63144\n\u2022 Provided leadership to multiple central region warehouses\n\u2022 Set up and relocate new facilities\n\u2022 Inventory Control\n\u2022 Align warehouse operations to meet company guidelines\n\u2022 Oversee cleanliness and safe environment in warehouses\n\u2022 Payroll and personnel including interviewing, evaluations and training\n\u2022 Inspect incoming and outgoing freight\n\u2022 Load and unload freight', u'Warehouse Manager\nFellers, Inc - St. Louis, MO\nJuly 2005 to June 2008\n63110\n\u2022 Provided leadership to warehouse personnel\n\u2022 Coordinate incoming and outgoing shipments\n\u2022 Forklift and Pallet Jack Operation\n\u2022 Inventory Control\n\u2022 Customer Service\n\u2022 Load and unload product\n\u2022 Ship products via Fedex, UPS, customer pick up, and logistics.', u'Outbound Supervisor\nMid States Express - St. Louis, MO\nJune 1999 to June 2005\n63147\n\u2022 Provided leadership to warehouse personnel\n\u2022 Coordinate line haul loads\n\u2022 Customer Service\n\u2022 Inventory control\n\u2022 Load and unload shipments\n\u2022 Forklift driver\n\u2022 Handle OS & D issues', u'Warehouseman\nAmericold Logistics - Portland, OR\nMarch 1998 to May 1999\n\u2022 Certified forklift driver\n\u2022 Certified pallet jack driver\n\u2022 Inventory control\n\u2022 Pull and fill orders\n\u2022 Load and unload shipments']","[u'Bachelor of Science in Business Administration', u'Associates of Arts in Business Administration']","[u'Missouri Baptist College St. Louis, MO\nMay 1987', u'Jefferson College Hillsboro, MO\nMay 1984']"
0,https://resumes.indeed.com/resume/94d50cc0a61a54c5,"[u'Operation Associate\nICON Clinical Research Ltd - Chennai, Tamil Nadu\nFebruary 2015 to Present', u'Recruitment Manager\nLemuria Consulting - Chennai, Tamil Nadu\nFebruary 2014 to January 2015']","[u'MBA in Human Resource and Marketing', u'Bsc in Biochemistry']","[u'Anna University', u'Jaya College, Madras University Chennai, Tamil Nadu']"
0,https://resumes.indeed.com/resume/af650b361c73c031,"[u'Shift Champion\nVantec Hitachi Transport - Canton, MS\nApril 2017 to Present\n\u2022 Ensured that inventory is performed accurately and with the utmost integrity. Prepared accurate and timely reports of activities, and performance measurements to the Branch VP.\n\u2022 Implemented and managed the S5 program and Lean philosophy by eliminating waste and improving efficiency.\n\u2022 Developed KPIs with team members and monitored individual performance.\n\u2022 Inspects physical condition of warehouse tools and equipment. Enforce all company rules and regulations. Maintain standards of health & safety and security in the work environment.\n\u2022 Identified potential/current work issues and resolved them in an appropriate and timely manner, and suggested methods to improve employee commitment and motivation.', u'Shipping Manager\nMerchants Food Services - Jackson, MS\nFebruary 2016 to April 2017\n\u2022 Managed the daily work and safety of associates engaged in order selecting, product replenishment, and order loading which includes all warehouse personnel; selectors, loaders, and forklift operators.\n\u2022 Established operational procedures for activities, such as verification of incoming and outgoing shipments, handling and disposition of materials and keeping warehouse inventory current.\n\u2022 Inspected physical condition of warehouse equipment and prepared work orders for repairs and requisition for replacement of equipment.\n\u2022 Conferred with department heads to ensure coordination of warehouse activities with such activities as production, sales, records control and purchasing.\n\u2022 Screened and hired warehouse personnel and issued work assignments.\n\u2022 Assisted subordinate and supervisors in identifying and resolving problems.\n\u2022 Studied production schedules and estimated worker-hour requirements for completion of job assignment.\n\u2022 Demonstrated effective leadership and encouraged team concepts.', u'Operation Manager\nSunrise Fresh Produce - Jackson, MS\nOctober 2005 to February 2016\n\u2022 Conferred and cooperated with management personnel in formulating administrative and operational policies and procedures.\n\u2022 Coordinated activities of operations department to obtain optimum use of equipment facilities and personnel.\n\u2022 Enforced compliance of operations personnel with administrative policies, procedures, safety rules and governmental regulations.\n\u2022 Directed investigations into causes of customer and shipper complaints relating to operations department.']",[u''],"[u'American International University Fort Hood, TX\nMay 1999']"
