,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/78636a5491ecafa3,"[u'Software Engineer\nARICENT - Bengaluru, Karnataka\nOctober 2015 to November 2016\nImplemented the \u2018Connection Manager\u2019 component of Cisco\u2019s product \u2013 \u2018Cisco Transport Planner\u2019, using Java and JGraphX libraries. Was involved in the bug fixing, platform upgrades, along with the unit testing. This was Scrum based development.\nWorked as a contract employee for Cisco, India during the tenure of the project \u2018Cisco Transport Planner\u2019.\nDesigned and developed the Mailing Module of \u2018Event Management System\u2019 utilizing the JavaMail API and Java Servlets. Developed other modules of the project \u2013 database design, form input.']","[u""Master's in Computer Science""]","[u'University of North Carolina at Charlotte Charlotte, NC\nAugust 2017 to December 2018']"
0,https://resumes.indeed.com/resume/fb20de45d3e5ad8a,"[u'Software Engineer\nLockheed Martin/Leidos\nApril 1997 to April 2017', u'Software Developer\nCDI, Inc\nJanuary 1987 to April 1997']","[u'MS Computer Science in Computer Science', u'BS in Medical Technology']","[u'Binghamton University Binghamton, NY', u'University of Buffalo Buffalo, NY']"
0,https://resumes.indeed.com/resume/24592b7b86afdcea,"[u'Software Engineer\nIBM CORPORATION - Austin, TX\nJanuary 1990 to Present\nDevelop Trusted Boot enhancement for OPAL. Implement secure boot containers built as part of PPC PNOR\nsystem F/W. Manage developers and FVT testers keeping in sync with respect to correctly prioritize workload.\nMaintainer and author of FVT development process and guidelines. Setup and manage Jenkins server with job\ncreation and pipelines supporting Automated Continuous Integration.\nSoftware Development\n\u2022 Lead NIST 800-53a enhancement AIX RSCT (Reliable Scalable Cluster Technology) project, reinforcing\nsecurity for complex software project.\n\u2022 Perform Lead Pillar and main Responder duties for Power-AIX for PSIRT (IBM Product Security Incident\nResponse Team). Keep customers up-to-date with latest advisories and fixes.\n\u2022 Advance propitiatory cryptographic sub-system performance, using Power Nest Accelerator co-processors,\nresulting in higher performance by 2x to 4x improvement.\n\u2022 Strengthen OpenSSL performance for Power8 in-core crypto, resulting in 4x improvement.\n\u2022 Improve HMC base infrastructure, including design, develop, and implementation for HMC remote\nAuthentication via Kerberos, and LDAP.\n\u2022 Collaborate with USB keyboard and mouse development team for AIX, developing underlying memory\nallocator and DMA mapper for USB Device Driver.\nNew Project Launch\n\u2022 Established AIX RAS initiatives for Component and System Tracing, Dump Facility, and Error logging.\n\u2022 Performed porting of existing AIX LAN Device Drivers to MERCED (Itanium AIX IA-64).']",[u'in Computer Science'],"[u'ST. EDWARDS UNIVERSITY Austin, TX']"
0,https://resumes.indeed.com/resume/16fe0106a76e66eb,"[u'Software Engineer\nPersistent System Limited - Pune, Maharashtra\nAugust 2014 to February 2015\n\u2022 Worked on upgrade and integrati0n of the existing RubyUno bridge with OpenOffice RubyUno bridge.\n\u2022 Designed and developed several UNO components for new modules in the bridge.\n\u2022 Implemented Ruby extensions for all the data types, interfaces and services in C++ to run and access Ruby Script over the RubyUno bridge.', u'Software Engineer - Intern\nAchilles Solutions Pvt Ltd - Pune, Maharashtra\nJuly 2013 to March 2014\n\u2022 Developed a web based application for Real Estate Companies using Java, JSP, HTML, CSS and JavaScript.\n\n\u2022 Designed and developed the relational database in MySQL and Bit Map Index from customer data.\n\u2022 Conceptualized and implemented ""Apriori Algorithm"" in java to prune database showing top properties of builders.\n\n\u2022 Corrected errors in the Algorithm to display the result set of 1000 properties in less than a second.']","[u'MS in Computer Science in Data Mining and Pattern Recognition', u'Bachelors in Computer Science in Information Technology']","[u'California State University Fullerton, CA\nAugust 2016 to May 2018', u'Savitribai Phule Pune University Pune, Maharashtra\nJune 2014']"
0,https://resumes.indeed.com/resume/4e2ebccd7a15fd56,"[u""SOFTWARE ENGINEER\nACCENTURE\nJuly 2015 to May 2016\n\u2022 Linked local forecast planning with production planning for historic sales data in a customer support environment\n\u2022 Identified different trends by performing trend analysis on historical sales data and included it in forecast calculations\n\u2022 Implemented machine learning algorithms like multiple linear regression, logistic regression on KPI's for accurate weights\n\u2022 Improved the accuracy of the model using random forests, bootstrapping, bagging, and boosting by 10%\n\u2022 Attained 9% mean absolute percent error by using weighted moving averages, exponential smoothing methods in python\n\u2022 Routed the cause of certain recurring critical incidents using python to reduce the incident incoming rate by 6.8%\n\u2022 Integrated KPI's from various tables in a data warehouse by designing queries in SQL w.r.t time for Time Series Forecasting\n\u2022 Created KPI visualizations in Tableau to understand like seasonal contributions and effect of no. of workdays in a month\n\u2022 Agile methodologies like daily standups, sprint open, close, retrospective was used to achieve client satisfaction"", u""ASSOCIATE SOFTWARE ENGINEER\nACCENTURE\nSeptember 2014 to June 2015\n\u2022 Processed historic sales data according to client requirements in Hive/MySQL tables for reporting in Tableau\n\u2022 Integrated product data from JSON, EXCEL using python for data pre-processing and preparing data to explore insights\n\u2022 Applied data munging transformations on large datasets procured from reporting using python and SQL\n\u2022 Routed the cause of missing values by arranging meetings with the client, optimizing service outcomes by 20%\n\u2022 Operated on the prepared dataset to make modifications to the prevalent data as per incidents raised by the customers\n\u2022 Reduced manual error rate from 15% to 10% by validation using python w.r.t the original system\n\u2022 Performed batch upload processes during odd hours to reduce the service inactivity from 30% to 20%\n\u2022 Automated the modifying of client production plant hierarchy improving time efficiency by 20%\n\u2022 Updated KPI's weekly by incrementally uploading the incoming demand to obtain real time data for data analysis\n\u2022 Combined data using SQL queries from different tables for managers to create ad-hoc reports and preparing dashboards""]","[u'M.S. in INFORMATION TECHNOLOGY AND MANAGEMENT', u'B.E. in ELECTRONICS AND TELECOMMUNICATION']","[u'THE UNIVERSITY OF TEXAS AT DALLAS Dallas, TX\nMay 2016 to May 2018', u'MUMBAI UNIVERSITY\nMay 2010 to May 2014']"
0,https://resumes.indeed.com/resume/556b3c05614c9b62,"[u'Software Engineer\nCodemate Ltd. - Dhaka\nJanuary 2012 to January 2013\nResponsibilities\n\u2022 Software development utilizing agile software development methodology\n\u2022 Co-ordinate with teams of computer programmers and system experts to develop,\nintegrate and maintain software systems\n\u2022 Develop logical and physical specification and design pattern using the Object Oriented\nProgramming\n\u2022 Write, debug and maintain program code\n\u2022 Develop Database and system process and evaluate those for optimized architecture\n\n\nAccomplishments\nCredita\n\u2022 Large ERP for publication business for major European company\n\u2022 Tools: Zend framework (PHP 5.3), Oracle 10g, Doctrine 2.1 ORM, Angular Js, JIRA,\nSVN, Linux\n\u2022 http://www.credita.fi/\nEdilex\n\u2022 Large ERP for publication business for major European company\n\u2022 Tools: Zend framework (PHP 5.3), Oracle 10g, Doctrine 2.1 ORM, Angular Js, JIRA,\nSVN, Linux\n\u2022 http://www.edilex.fi/\n\nSkills Used\nZend framework (PHP 5.3), Oracle 10g, Doctrine 2.1 ORM, Angular Js, JIRA,\nSVN, Linux', u'Software Engineer\nEvoknow Software Inc. - Dhaka\nJanuary 2011 to January 2011\nResponsibilities\n\u2022 Work closely as a team member in a dedicated development team\n\u2022 Analysis and R&D to understand client requirements\n\u2022 Play with core PHP and a framework developed in raw PHP\n\u2022 Work in existing projects, solve issues/tasks, bug fixing and add/implement new features\n\u2022 Maintain standard coding convention\n\u2022 Learn and work in Yii Framework\n\u2022 Work with JQuery, Javascript, Ajax, Smarty, CSS\n\nSkills Used\nPHP, Yii Framework, JQuery, Javascript, Ajax, Smarty, CSS']","[u'MS in Computer Science', u'BS in Computer Science and Engineering']","[u'University of Texas at San Antonio San Antonio, TX\nMay 2016', u'Chittagong University of Engineering & Technology\nJanuary 2010']"
0,https://resumes.indeed.com/resume/455d9b02a4fe9a56,"[u'Software Engineer\nAs a graduate of App Academy, I was able to further develop my skills as a software developer with specialties in JavaScript, React, Redux, and Ruby on Rails.']","[u'in Software Engineering', u'Bachelor of Science in Bioengineering']","[u'App Academy San Francisco, CA\nDecember 2017 to March 2018', u'University of California San Diego, CA\nDecember 2013']"
0,https://resumes.indeed.com/resume/74325bc894949c09,"[u""Software Engineer\nBaidu Japan Inc - Tokyo, JP\nApril 2009 to March 2011\n\u2022 IDC Auto Service System (PHP5, Shell, JavaScript, html, CSS, SQL, )\nDesigned the project architecture with MVC in LAMP environment and developed the source. The system allows user to operate (online, offline, replace, move, reinstall, change name or hardware), configure (access Internet, DNS, ) and retrieve (vague or accurate) servers. Designed and built database tables. It also can send e-mail easily.\nCollaborated with colleague monitored and managed company's IDC.\n\u2022 Hyperion Monitoring Platform (C, Shell, PHP5, JavaScript)\nDesigned and developed the module of server's utilization of CPU, Hard drive and Memory. Designed and developed the module of network flow monitoring. Designed and developed the syntax monitoring module of NAT servers. Collaborated with colleague monitored and managed company's IDC."", u'Software Engineer\nHitachi, Ltd - Tokyo, JP\nApril 2008 to March 2009\nDSHNET Monitoring System (C, C++, VC++, SQL)\nDesigned, developed and optimized the data of recorder export tools. It exports the data of DSHNET5 and imports them to DSHNET6 smoothly. Fixed bug and maintained DSHNET Monitoring System. Such as, video show and slider bar exception. Reviewed source and provided technical leadership to Junior Engineers.', u'Software Engineer\nMizuho Securities Co., Ltd - Tokyo, JP\nMay 2007 to March 2008\n\u2022 Quick Trader Premium (Quick) (C, C++, VC++)\nDesigned and developed part of the process of data flow about stock trading. Such as, sort quote code, import or export XML file and so on. Designed and developed part of the components of display. Such as, show quote code list and so on. Unit test the process and components. Provided technical leadership to Junior Engineers\n\u2022 iPeba(PWR Electronic Tracker) (C, C++, VC++, SQL)\nDesigned and developed overall project architecture. It tracks the users who enter or leave the production room. It developed as a backend service and supported multiple languages layout. Provided technical leadership to Junior Engineers', u'Programmer\nGlobal Advantage\uff08Suzhou\uff09 Co., Ltd\nJuly 2005 to April 2007\n\u2022 SANYO Navigator System (Music, Picture, HMI) (C, C++, VC++, eVC )\nDesigned and developed the data processing module. It supplied the API for view. The system constructed base on MVC. Optimized the algorithm of data processing and speeded up sort or retrieve. Designed and developed the HMI tools. It constructs data for Navigator system and supports multiple languages.\n\u2022 SEIYU IP Communication System (C, C++, VC++, Java, JSP, Servlet, Oracle9i, PL/SQL)\nCollaborated with project leader developed the video display module (VC++)\nDeveloped the billing account module (Java, JSP), It accounts the communication fee from getting connection to ending. Developed servlet to database processing.\nUnit test the SEIYU IP Communication System.\n\u2022 Book Management System (VB.NET, Oracle9i, PL/SQL)\nDesigned and developed the book management system. It includes the users and books the common management functions including CRUD. Created database and tables and developed the module for database processing.']",[u'BS in Computer Science & Technology'],[u'Nanjing Institute of Technology\nJanuary 2001 to January 2005']
0,https://resumes.indeed.com/resume/c99880ba669170af,"[u'Senior Software Engineer\nCapgemini - Mumbai, Maharashtra\nJune 2014 to September 2015\n* Enhanced workflows and automated process chains in SAP SD, QM modules saving 1050 man-hours per month.\n* Single-handedly managed tickets resolution for 2 weeks eliminating backlogs and accomplishing discipline in regular tasks.\n* Pioneered knowledge management by documenting solutions that bridged knowledge gap among teams.\n* Led a team of four that achieved desirable results with improved productivity and efficient collaboration with client.', u""Software Engineer\nCapgemini - Mumbai, Maharashtra\nMay 2013 to May 2014\n* Performed ETL process on data and built reports based on requirements that helped end-users with better decision making.\n* Ensured quality checks and met deadlines that avoided SLA breach and reduced project's annual costs considerably.\n* Proactively conducted knowledge sharing sessions to empower the team.""]","[u'MS in Information Systems in Information Systems', u'Bachelor of Engineering in Information Technology in Information Technology']","[u'University of Texas Arlington, TX\nMay 2018', u'University of Mumbai Mumbai, Maharashtra\nJuly 2008 to May 2012']"
0,https://resumes.indeed.com/resume/45c65df159599997,"[u'Author\nJanuary 2014 to January 2017\nTook three years off of work to write a book on the implications of the Mathematical Universe Hypothesis. Not accepted for publication.', u""Software Engineer\nZillow - Seattle, WA\nJanuary 2011 to January 2014\nWorked as a frontend engineer for Zillow's mobile website, with additional contributions to Zillow's primary map page and internal data structures."", u'Software Engineer\nTalentWise Solutions - Bellevue, WA\nJanuary 2008 to January 2011\nContributed systems design and engineering for TalentWise employment screening services, with particular emphasis on administrative workflow.']","[u""Bachelor's in Computer Science""]","[u'University of Oregon Eugene, OR\nJanuary 2002 to January 2007']"
