,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/eac92cad8bf7ef6d,"[u""VP of Operations\nGEORGE H. PASTOR & SONS\nMarch 2016 to January 2018\nGENERAL CONTRACTOR,\nPASTOR 4Gs, LLC INSURANCE RESTORATION PROFESSIONALS\nLIVONIA\n\nln charge of the lnsurance Restoration Department. Handled claims and collected payment on work completed.\n\nEstimating lnsurance jobs and negotiating with Adjusters for settlement.\nObtains permits for insurance work.\nDid Marketing for Residential and Commercial Claims.\nAssists and oversees the Accounts Receivable and Payables.\nCollects and distributes payments to subcontractors.\n\nUsed XACTOMATE program for lnsurance Claims which is widely used in the lnsurance lndustry. Assists in working with Oakland County Rehab bids for\nHomeowners to get work completed.\nI also do various tasks in assisting with daily operations on both the construction and insurance restoration sides of our company such as....\nI assisted working with a superintendent at a Wendy's Restaurant in Toledo Ohio for 6-weeks. I have experlence reading blue prints on the reconstruction process."", u'ACCOUNT MANAGER\nVISION RESTORATION AND BUILDING COMPANY\nSeptember 2014 to January 2016\nDEARBORN HEIGHTS\nReceiving new leads/sending new leads to the emergency crews.\nThe daily review of maintaining the programs on Xactanalylis and other websites.\nMaintaining and administering all vendor requirements.\nAssisting with Estimating (sub bid f rom subcontractors/permits/customer\ncommu nications).\nAssist marketing and production.\nAssist with Accounts Receivables and Payables.\nContact insurance companies to check on status of claims payments and write\nappeal letters for denial on claims. I record information about financial status of customers and status of the collection process. Locate and notify customers of delinquent accounts by mail, telephone, or personal visits to solicit payment.', u'lnsurance Advisor/ Marketing & Admin\nMike Mathews, MATHEWS ELECTRIC & FarmingtonHills\nSeptember 2013 to September 2013\nCONSULTINGINVESTIGATION, INC.\n\nlnsurance Adviser to Mike Mathews, Marketing & Admin. to Mike Mathews (owner)\nAssist in delivering of parts to the Electricians on job sites.\nOversee the Evidence room for items collected and held for various lnsurance\ncompanies.', u""Property Claims Adjuster\nFARM BUREAU INSURANCE COMPANY - Wixom, MI\nJuly 2000 to July 2013\nProperty Claims Adjuster, FARM BUREAU INSURANCE COMPANY\nSenior Residential Property Claims Adjuster with 13 years' experience.\nDelivering solutions for Fire, Water and Wind damage losses.\nAssist in Underwriting Department in both Homeowner and Commercial losses for risk management.\nComplete on-site re-inspections for Liability, foundation/roof and electrical issues.\nCollect evidence to support contested claims in court. Negotiate claim\nsettlements and recommend litigation when settlement cannot be negotiated.\nReview police reports, medical treatment records, medical bills, or physical\nproperty damage to determine the extent of liability. lnvestigate and assess\ndamage to property and create or review property damage estimates. Examine\nclaims forms and other records to determine insurance coverage.""]","[u'in Business Administration', u'High School Diploma']","[u'Marquette University Marquette, MI\nSeptember 1979 to June 1981', u'Southfield Lathrop High School\nJanuary 1975']"
0,https://resumes.indeed.com/resume/a187950122ebb951,"[u""VP of Marketing & Business Development\nWEHRENBERG THEATRES - St. Louis, MO\nJanuary 1995 to January 2017\nInstrumental in the success and growth of the company through the development of strategic partnerships and leadership\n* Leader acknowledged by the American Marketing Association & past board member for The St. Louis Advertising Club\n* Effectively managed PR, media relations, merchandising, advertising, Social media, loyalty programs, community in- volvement and web presence.\n* Negotiated all industry contracts connected to advertising sales.\n* Developed creative concepts for media relations including web structure, group sales promos, & in theatre advertising\n* Provided training for theatre promotions and community events including The Salvation Army Tree of Lights-Cans Film\nFestival and Variety the Children's Charity-Gold Heart fundraiser.\n* Coached and mentored 30+ new staff over 20 years while improving marketing productivity by 90%.\n* Managed a 2 Million/year budget including creating marketing campaigns that increased corporate sales by 15% yearly and corporate brand awareness.\n* Increased sales of monetized real-estate sales & group sales by 60% through creative marketing campaigns and relationship\nbuilding."", u'VP Sales & Marketing\nTBWA CHIAT DAY - St. Louis, MO\nJanuary 1985 to January 1995\nLed a staff of 15 professionals in production, art, media buying, publicity, and marketing for motion picture key accounts\n* Forged over 30 licensing partnerships through co-op advertising contract negotiations\n* Developed partnerships with the motion picture companies and key agency account clients\n* Developed publicity tours, media buying levels and event planning for all 13 motion picture companies as well as other\nagency clients such as McDonalds, Ralston Purina, Hardees, and AAA Auto\n* Did 15 Million/year in Revenue\n* Represented major studios for their regional advertising & marketing including: 20th Century Fox, Buena Vista, Univer- sal, Warner Brothers, Sony and Paramount\n* Organized one of the largest media events in history in conjunction with Disney Studios\n* Developed marketing & branding for promotions growing group sales and advertising partnerships.']","[u'Certificate', u'in Marketing', u'in Advertising']","[u'Kellogg School of Management at Northwestern Evanston, IL', u'Maryville University St. Louis, MO', u'St. Louis']"
0,https://resumes.indeed.com/resume/51bc8ba15b4bba17,"[u'Sales Associate\nOffice Depot OfficeMax\nAugust 2017 to Present\nWorking closely with customers, determining their needs\n* Cashier\n* Customer\n* Extensive knowledge on products\n* UpStocking and DownStocking\n* Creating Solutions and Maximizing Client Satisfaction\n* Verbal Communication\n* Always Demonstrate Outstanding Customer Service', u'DECA Store VP of Marketing/Finance\nCasa Grande DECA School Store\nMay 2017 to Present\n* Coordinated with other Board Members on which conferences, competitions, and activities we plan on taking this school year.\n* Educating potential members on reasons why joining DECA is beneficial in several types of ways\n* Conducting ourselves professionally at all times\n* Participating in community service events such as, Taste of Casa Grande', u'Cashier\nCasa Grande DECA School Store\nAugust 2016 to Present\nAugust 2016-present)\n\u25e6 Trained new workers on cash register and basic maintenance procedures;\n\u25e6 Performed multiple tasks daily, including:\n* Cashier;\n* Customer Service and Problem Solving;\n* Food Handling;\n* Stocking;\n* Promoting the Store;']",[u''],"[u'Casa Grande Union High School Casa Grande, AZ\nAugust 2014 to May 2018']"
0,https://resumes.indeed.com/resume/a96e8c3477c9061b,"[u""Marketing Strategy Consultant & Advisor\nNew York, NY\nMay 2013 to Present\nPrincipal\n\nBridging marketing executive transitions and providing subject matter expertise for strategy and planning of digital transformation, customer engagement and retention.\n\nCategories: Financial Services, Professional Services, Technology.\n\nClients: AXA, Ansell, Boston Consulting Group, BlackRock, Brother USA, CIT Bank, Geometry Global, Interactive Data (IDC), LG Mobile, Naturalizer, Phillips Healthcare, Pace Communications, Prime Visibility, S&P Global, Samsung.\n\nDigital Transformation: Developing content and digital marketing go-to-market strategy, plans and pilots to enable clients' transitions to shared accountability between Sales and Marketing.\n\nCustomer Acquisition: Turned-around an underperforming customer acquisition strategy comprised of multiple campaigns for a SaaS collaboration platform resulting in 30%+ decrease in cost of acquisition.\n\nCRM:\n\u2022 Redesigned footwear brand's retail loyalty club to reduce discount offer exposure while simultaneously increasing club members' purchase transaction frequency and dollar value.\n\u2022 CRM: Led strategy for an asset management firm's financial advisor behavior-based segmentation and engagement programs with focus on increasing lifetime value of financial advisors."", u""EVP Strategy\nHill Holliday New York - New York, NY\nJuly 2009 to April 2013\nHead of research, strategy and analytics for New York Office (aprox. 120 associates, $75 million annual fee).\n\nCategories: Financial Services, Pharmaceuticals, Telco.\nClients: Bank of America's Merrill Edge, Janssen Pharmaceuticals, Novartis Pharmaceuticals, Verizon FiOS, Verizon Wireless.\n\nBusiness Management: Built a new pharmaceutical relationship marketing (RM) practice, winning Rx patient adherence assignments representing $7 million agency fee. Formalized and built Hispanic marketing practice, winning assignments representing $1 million agency fee.\n\nRevenue Growth: Won Verizon Wireless' national CRM programs representing $15 million agency fee.\n\nGo-to-Market Strategy: Developed the plan to re-launch a Verizon FiOS cloud-based monitoring & control service.\n\nCustomer Acquisition:\n\u2022 Led re-positioning and campaign planning to improve Verizon FiOS penetration in multi-dwelling units: Movers, Hispanics and Mass.\n\u2022 Acquisition: Led campaign and creative strategy for Verizon Wireless' customer acquisition campaigns: National Retail Advertising, Sponsorship Activation and National Shopper Marketing.\n\nCRM: Managed the team and work for Verizon Wireless' national CRM programs which were responsible for retaining, up-selling and cross-selling 90 million customers.\n\u2022 Accelerated smartphone penetration from 30% to 65% of base.\n\u2022 Maintained Verizon's category-leading <1% churn rate."", u""Senior Partner, Senior Strategy Director\nOgilvyOne New York - New York, NY\nNovember 2004 to June 2009\nLed Demand Generation strategy teams (up to 15 team members, client accounts as large as $60 million annual fee) for several of the world's most successful global B2B brands.\n\nCategories: Financial Services, Technology, Logistics.\nClients: American Express OPEN, DHL, FM Global, IBM, Jackson National Life, Lenovo, SAP.\n\nRevenue Growth: Sold-in $3 million incremental agency annual fee.\n\nGo-to-Market Strategy:\n\u2022 Developed go-to-market and demand generation plans for:\n1) a new Cloud infrastructure solution targeting U.S., India and Italy;\n2) an acquired SaaS conferencing and communications solution, WebDialogs.\n\nDemand Generation Strategy:\n\u2022 Led strategy teams that developed integrated, multi-channel campaigns and content marketing that targeted small and midsize businesses (SMBs) in North America and worldwide. Success was measured by quarterly sales pipeline metrics and expense to revenue ratios.\n\u25e6 DHL work won Effie award based on business performance as well as an internal Ogilvy award for the most recognized campaign.\n\u25e6 IBM worked nominate for IBM's Center of Excellence award.\n\u25e6 Launched IBM's first advanced content-based lead nurturing program.\n\nChannel Marketing: Developed channel partner segmentation model then re-vamped the levels and types of marketing support each segment could access.\n\nSegmented Marketing: Developed and launched customer up-sell program based on vertical segmentation.\n\nResulting programs increased monthly cardmember spend by 19%.\n\nWeb Development: Led marketing requirements definition for Web site overhaul."", u""Principal\nB2B Strategy Associates - New York, NY\nJanuary 2002 to November 2004\nAs a sought-after marketing leader for rapid-growth companies, provided subject-matter expertise and consultative services to companies at pivotal transition points.\n\nCategories: Financial Services, Technology.\nClients: Great-West Healthcare, MSN, Neteller, SAP.\nMarketing Operations: Within six months, established in Ireland a new 20-person multilingual outbound lead generation telemarketing unit: recruiting, training, procedure definition, EMEA regional coordination, CRM system and telephony infrastructure implementation. The unit generated 100+ sales leads during its first four months of operation.\n\nSegmentation Strategy: Developed segmentation and relationship marketing communications plan for online money-transfer business with 1+ million members. Increased retention 9% in first quarter.\n\nRebranding: Developed marketing strategy recommendations that resulted in re-branding of national insurance company's healthcare benefits division and product suite. Estimated cost savings achieved in six months: $900K."", u'VP, Marketing\nMarketMile by American Express - Mountainview, CA, US\nJanuary 2001 to December 2001\nTrained the American Express salesforce to launch a SaaS marketplace for indirect goods and services, including a client reference program for sales prospects and media outreach.\n\nBrought marketing expenses under control, enabling reallocation of budget to accelerate product development.', u'Head of Marketing and Product Management\nOpenAuto.com - Walnut Creek, CA\nOctober 1999 to October 2000\nExecuted business model turn-around transitioning the company from a B2C automotive e-commerce retailer to a B2B SaaS automotive dealer e-commerce inventory system.\n\nLed core service development and marketing; managed development of proof-of-concept which secured critical bridge financing.', u'Head of Marketing\n7 Media - New York, NY\nDecember 1997 to July 1999\nLaunched company, an online advertising network (SaaS adserving and sales), in eight weeks. Issued IPO in eight months. Expanded globally within one year.\n\nExtended marketing support from U.S. to more than 18 European and Asian countries; supported 30 to 700+ sales professionals.\n\nIncreased quarterly revenue from $1.9 to $17 million through highly successful integrated B2B marketing strategies.\n\nAuthored SEC filings; ensured SEC compliance in all communications.', u'VP, Marketing\nK2 Design - New York, NY\nMarch 1996 to November 1997\nHead of marketing and business development for pioneering interactive agency, winning key accounts including McKinsey Consulting, Toys R Us and Waterhouse Financial.']","[u'MBA in Marketing', u'BS in Computer Science']","[u'Cornell University, Johnson Graduate School of Management', u'Lehigh University']"
0,https://resumes.indeed.com/resume/bce21038108b7990,"[u'Marketing & Technical Sales\nCentral Coast Patent Agency - Watsonville, CA\nJanuary 2018 to Present\nCreate and manage all Marketing via websites, social media channels, radio, printed, attending and hosting Meetups.\n\nGenerate sales with clients via phone, email, social media, in the field, attending and hosting Meetups.', u'Inventor/CEO\nMX Control Tech - Santa Cruz, CA\nJanuary 2015 to January 2017\nInvented and patented a product that enables a standing off-road motorcycle rider to grip the bike with their legs for ultimate control and stability. Created business plans, pitch decks, Indigogo crowd-funding and social media campaigns. Pitched to investors, obtained funds and managed a team to create the business entity, branding, industry mindshare and B2B development. Hand crafted and tested prototypes with pro-riders and manufactured the first round of products to promote for licensing to manufacturers.', u'Owner/Operator\nInterMize - Santa Cruz, CA\nJanuary 2013 to January 2017\nStarted an Internet Marketing business with one employee and within two months became a profitable business. Built websites, Branded, delivered SEO, Landing Page Optimization, Value Proposition, PPC, Content Writing, Reputation Management, Created Videos and TV Commercials.', u""Director of Marketing & Sales\nLeale's Corp - San Jose, CA\nJanuary 2008 to January 2013\nStarted in sales and within four months was promoted to manage Marketing and Sales. Transitioned two failing businesses to reach over one million each in revenue within 18 months. Devised SEO, Social Media Marketing and Adwords campaigns to consistently outrank and outnumber the competition. Implemented several new vertical market business plans, new B2B development and directed the creation of successful TV and Radio ads that lead to increase revenue by 76% in the following two years."", u'Account Executive\nValley Yellow Pages - Campbell, CA\nJanuary 2006 to January 2008\nExpanded territory and increased volume with existing clients. Became known as the one who could save failing contracts and keep clients onboard. Created compelling display ads and programs that directly lead to increased profits.', u'VP/CTO\nTransAble - Santa Cruz, CA\nJanuary 2005 to January 2007\nEnvisioned, designed and directed the development of the first full-featured socializing website for individuals with a disability. Performed detailed market research for the target community and related industries. Wrote a business plan and obtained investors.']",[u'in Solar Technology'],"[u'Cabrillo College Santa Cruz, CA']"
0,https://resumes.indeed.com/resume/e98c26a24acd7eb6,"[u'V.P. Media Operations, Head of Search Marketing and Social Media Marketing Practices\nCatalyst/GroupM - Boston, MA\nJanuary 2004 to Present\nNew York, NY\n\nResponsible for the execution, staffing and infrastructure enabling a local start-up to grow into a $100 million digital advertising business.\n\u2022 Through growth and mergers, shaped an organization which delivers nearly $1 billion in Paid Search (PPC/SEM) advertising annually.\n\u2022 Capitalized on the emerging Paid Social channel to build a staff delivering over $500 million in Social ad spend.\n\u2022 Merged the Search and Social operations of 5 separate agencies and over 400 employees into a single, best-in-class digital media organization.\n\u2022 Pitched, won and managed the Paid Search and Organic Search (SEO) business for the largest global consumer advertiser in the world.\n\u2022 Developed several innovative product ideas into revenue generating, first-to-market opportunities.\n\u2022 Incubated and mentored a small internal tech team to create a full-scale, data-driven visualization platform delivering peerless, rapid client customizations.', u""V.P. Project Management, V.P. Professional Services\nAGENCY.COM - Boston, MA\nJanuary 1997 to January 2004\nBoston, MA\nManaged a multi-office organization that delivered over $50 million in professional web/systems integration services.\n\u2022 Executive Project Manager for a successful $20 million, 2-year project (65-person team) delivering a multi-site CMS for a global financial institution.\n\u2022 Turned a troubled $14 million (35-person team) project into a major corporate success for a large international insurance company.\n\u2022 Engagement Manager for a 15-person team in development of a $3 million marketing data warehouse for one of the largest HMO's in the country.\n\u2022 Implemented infrastructure and process enhancements improving our project on-time, on-budget and on-scope delivery record.\n\u2022 Created and directed programs for departmental skills training and manager development."", u'Director of Information Technology\nGeerlings & Wade - Canton, MA\nJanuary 1995 to January 1997\nAccountable for the 100% uptime of all systems for a technology-dependent consumer telemarketing company.\n\u2022 Responsible for managing all IT functions including custom applications development, software selection, desktop/server maintenance, telephony systems and networks.\n\u2022 Created departmental processes, disaster recovery plans, standards for hardware/software and implemented fail-safe redundancies.', u""Manager of Global Financial Systems, Manager of Database Applications, Systems Analyst\nLotus Development\nJanuary 1990 to January 1995\nCambridge MA\nHelped a spreadsheet-reliant company migrate their systems and processes to industry leading tools, as their product's success evolved into a mammoth business.\n\u2022 Developed cross-discipline, global financial requirements into a single worldwide data warehouse.\n\u2022 Worked extensively in the UK to develop our first pan-European General Ledger and world-wide Budget Forecast/Financial Closing system.\n\u2022 Completed various development/systems integration projects for Finance, Human Resources, Purchasing, Sales, Marketing, and Customer (technical) Support.\n\u2022 Implemented Lotus' first data warehouses for their Customer, Sales and DB Marketing groups.\n\u2022 Built a 200 user Product Support system, including telephony integration, from mixed sources of over 5 million warranty names.\n\u2022 Implemented and customized several manufacturing and distribution systems for our assembly plants in England, Ireland, Puerto Rico, Japan and the US.""]","[u'BA in (Cum Laude), Management Information Systems']","[u'Northeastern University Boston, MA']"
0,https://resumes.indeed.com/resume/ed4b20ef4808fbc4,"[u""Executive Manager, Partner\nRazor's Edge Media Marketing - Hollywood, CA\nJanuary 2015 to Present\nSystematically identify what works and what doesn't, identifying and tracking KPIs, and adjusting business- development efforts accordingly\nAssisted independent artists in gaining over 500,000 listens on Spotify.\nBuild relationships with brands and agencies to create brand partnerships.\nInterfaced with Corporate business development to ensure new business and commerce opportunities\nwere extended to distributed labels.\nStrengthened company's business by leading implementation of new product offerings.\nCreate strategies to implement predictable, repeatable and scalable sales processes using data analytics.\nCreated and executed marketing campaigns, including new product introductions and existing product\ndevelopment."", u'Director of Marketing/Label Manager\nINgrooves Music Group & Distribution - Los Angeles, CA\nMarch 2011 to December 2014\nCreated and executed artist marketing plans\nResponsible for artist budgets within radio cost, video production cost, marketing cost, and traditional\nmedia etc.\nManaged all aspects of streaming services i.e., Spotify, Youtube, iTunes, Amazon, etc. for assigned labels\nCreated effective messaging using language, graphics and marketing collateral.\nLiaise for several associated label groups needing physical and digital distribution\nStrategic planning of sales and marketing efforts for label groups\nLead sales growth of individual label groups via VP of Sales', u'VP Sales & Marketing\nWEA - Warner Music Group - New York, NY\nApril 2004 to December 2010\nManaged thirty percent of sales of Warner Music billion dollar sales and marketing distribution division\nAchieved sales objectives while managing four regional direct reports\nParticipated in developing sales and marketing campaigned, both nationally and regionally\nConsulted with the national account and regional teams to ensure sufficient product quantities at retail to meet sales goals\nAchieved sales objectives and increased market share three years in a row while the industry experienced an overall decline\nCreated a retail marketing promotion the National Association of Retail Merchandisers (NARM) voted the best of the year.\nNational Urban Sales Director\nCapitol/Priority Records Los Angeles, CA\nField Marketing Representative\nPolygram Group Distribution San Francisco, CA']","[u'Bachelor of Science in Marketing', u'']","[u'Columbia University New York, NY', u'California State University East Bay Hayward, CA']"
0,https://resumes.indeed.com/resume/e5ee99d219f65cc5,"[u'Director, Corporate Marketing and Communications\nContent Enablers - Saratoga Springs, NY\nMarch 2017 to Present\nDrive global brand awareness and visibility for a leader in online trade compliance training.', u'VP, Director of Public Relations\nChoreo Market Access - New York, NY\nMarch 2016 to December 2016\nLaunch and position start-up agency, Choreo, as a market access leader in the healthcare/pharmaceutical industry.', u'Corporate Relations Director\nPALIO - Saratoga Springs, NY\nNovember 1999 to March 2016\nIncrease awareness and visibility in the national healthcare arena while positioning Palio as a powerhouse of industry thought leaders.', u'Director of Communications\nThe Sage Colleges - Troy, NY\nSeptember 1985 to October 1999\nValidate Sage\u2019s reputation in the higher education market by integrating communications, public relations, and marketing programs to drive visibility and awareness.']","[u""Bachelor's in English, History""]","[u'State University of New York at Cortland Cortland, NY']"
0,https://resumes.indeed.com/resume/b817da94af5f90ad,"[u'Executive Assistant to VP of Specialists\nStrategic Group - New York, NY\nMay 2017 to Present\nAssist the Vice President of the Specialist Department with her extensive travel domestically and internationally as she visits the regional markets the Portfolio & Champagne Specialists, Region Managers, Mixologists and Brand Ambassadors represent on behalf of client, Moet Hennessy USA.\nTrack, upload, analyze thousands of dollars in expenses for domestic/international travel, account spends, activations, team events, and meetings.\nMaintain the calendar of scheduled meetings and travel plans for a three month outlook.\nCreated spend reports, expense reports, KPIs reports and and requested PowerPoint presentation decks for the client.\nProvide trainings on Office 365 applications and Salesforce for new hires and quarterly for Managers and Specialists.\nOrganize/plan/execute region manager meetings by working with the hotels to block off rooms for attendees, conference room, A/V needs, catering, travel itineraries and budget constraints.', u'Executive Assistant to EVP of Marketing\nMoet Hennessy USA - New York, NY\nMarch 2015 to April 2017\nConducted competitive research on new trends and insights in the wines category on social to ensure my brands were at the forefront of the industry.\nAssisted the Executive Vice President over all Wine and Spirits for Moet Hennessy U.S.A. with 61 subsidiaries. Managed phone calls, communications calendars, scheduling, and expenses in support of the EVP, as well as 2 Senior Vice Presidents, the Chief Marketing Officer, Brand Manager, and the entire 20-member Hennessy team. Coordinated meetings and events, and planned frequent international travel plans including airlines, hotel, catering, and schedules. Assisted with quarterly reports and meeting with top-level representatives from the Maison in Paris, France. Added corporate value by managing multiple priorities and projects in an extremely fast-paced and prestigious environment.\nTracked and managed thousands of dollars in expenses for international travel, and team events, and meetings.\nMaintained detailed organization and ensured strict adherence to executive calendars within an extremely fast-paced and high-profile international luxury-brand organization.\nCoordinated frequent international travel and managed continuous communications with international teams, board members, and company executives\nServed as a Personal Assistant to the Executive Vice President of one of the world\u2019s top luxury brands.', u'Executive Assistant to VP of CRM\nTiffany & Co. - Parsippany, NJ\nFebruary 2014 to February 2015\nPerformed maintenance, merged requests/suggestions, corrected transaction records to ensure Enterprise Customer Management data was continuously updated and accurate.\nManaged as many as 30 personal and professional calendars. Made reservations, printed materials, and prepared travel documents. Ensured complete preparation for personal and professional appointments, projects, events, and occasions.\nCultivated and maintained relationships with all levels of professionals. Answered phones and advised the VP of CRM on daily schedule, confidential employee information such as benefits and compensation, client portfolios, and budget issues.\nManaged all meetings, corporate events, conferences, Executive and Board of Directors meetings. Coordinated domestic and international travel arrangements. Assembled paperwork, packets, and presentation materials. Booked rooms, registered for conferences, and secured transportation, lodging, catering, and office equipment.\nManaged projects and instituted guidelines for business entertainment, mobile communications, travel coordination, and expense reports to drive compliance with established allowances, pay rates, commissions, and bonus levels.\nLed continuous process improvements to streamline efforts and control costs. Directed workflow, created spreadsheets, managed special projects, and oversaw expense accounts to ensure compliance with timelines and budgets. Trained and directed a team of 15 Administrative Assistants, and cultivated a team-centric culture.', u'Social Media Assistant\nFendi North America - New York, NY\nApril 2013 to February 2014\nWrote copy and published social media content tailored to each social channel\nCollaborated with other marketing departments to create cohesive campaigns\nCreated, managed, and executed social campaigns to drive awareness, lead generation, and ultimately sales.\nStayed on top of the latest trends to ensure Fendi social channels were at the forefront of them', u'Digital Commerce - Specialist\nBurberry - New York, NY\nSeptember 2010 to April 2012\nPlaced orders, provided customer service, after sales repairs and was a product specialist for the burberry.com e-commerce site.\nMaintained the integrity of the My Burberry CRM database, merged with the in store CRM platform for better clienteling and direct marketing initiatives.\nAnalyzed the KPIs of store associates gathering customer information at the POS and the quality of the information.\nProvided support and training for new store associates, troubleshooting, access issues and merge requests.', u'Sales Professional\nTiffany & Co - New York, NY\nOctober 2009 to December 2009\nSeasonal Jewelry Sales Professional\n- Provided an exceptional level of customer service by giving the Tiffany Experience.\n- Exceeded company goals while providing a warm and personal shopping experience with each customer.\n- Showcased jewelry and assisted clients with designer, style and choice of gemstone.\n- Serviced every customer in a quick and efficient manner, thanking them by name and adding them to the client book.\n- Greeted every customer in a timely fashion, giving them a pleasant welcome to our store.']","[u""Bachelor's in Economics & Finance""]","[u'Buffalo State SUNY Buffalo, NY\nJanuary 2003 to January 2007']"
0,https://resumes.indeed.com/resume/eb59bdd4314b2236,"[u'Vice President of Sales\nSouthern Tank Transport, Inc\nJanuary 1996 to Present\nAs a key member of the Executive Team, was directly responsible for growing overall sales from $16,000,000 in 1996 to $36,000,000 in 2016. Initiated and maintained aggressive and consistent management strategies for the company that ensured excellent customer retention and top notch customer service.\n\n\u2022 Responsible for monthly sales calls to each of our top 20 customers across the country to ensure their satisfaction\n\u2022 Oversee and manage a team of sales managers across the country and conduct monthly sales meetings to ensure revenue goals and sales activity is being met\n\u2022 Accountable for and continuously review all rates and tariffs to ensure they are producing profit and providing income to drivers\n\u2022 Responsible for onboarding and training of all new sales managers\n\u2022 Key Stakeholder in acquisitions and terminal startups in many key cities resulting in Southern Tank Transport becoming a leader in the industry.\n\nKey Achievements\n\u2713 Increased sales 5-10% year over year through new business and current customer expansion\n\u2713 Instrumental in becoming the house carrier for Cemex while also maintaining existing Cemex terminals in five cities, later transforming this into a joint venture with Cemex\n\u2713 Responsible for being awarded house carrier status for multiple additional Blue Circle Cement locations, additional Lhoist locations, and Holcim, among others\n\u2713 Set up a lime trans-load facility in Ashville, NC to supply Blue Ridge Canton plant with lime in pneumatic tanks\n\u2713 Successfully met aggressive monthly revenue numbers for the above customers\n\u2713 Grew, and sometimes doubled, the number of trucks on the road in order to haul the majority of materials for many of our customers\n\u2713 Continuously met weekly revenue goals of $4,000 per truck', u'VP Sales & Marketing\nSouthern Tank Transport, Inc - Charleston, SC\nJanuary 1993 to December 2018\nSouthern Tank Transport, Inc. was formed in 1993, to be the house carrier for Blue Circle Cement, Inc. In July of 2000, The Geo A. Rheman Co., and Southern Bulk Haulers were all merged together into Southern Tank Transport, Inc. Southern Tank Transport, Inc. employs over 350 people with a combined fleet of 271 tractors located in SC, VA, TX, AL and FL.', u'General Manager/Sales Manager\nSouthern Tank Transport, Inc\nJanuary 1993 to January 1996\n- Promoted to Vice President of Sales\n\n\u2022 Instrumental in becoming the house carrier for Blue Circle Cement and grew this account from $240,000 annually to over $12,000,000 annually\n\u2022 Solely responsible for securing and initiating business with other new customers to meet growth goals\n\u2022 Responsible for acquiring and building terminals in key cities to grow business\n\u2022 Accountable for all hiring and management duties once terminals were established']",[u'Bachelor of Science in Business Administration in Business Administration'],"[u'College of Charleston Charleston, SC']"
