,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/e28f36f70b89a1d9,"[u'Controller -Director\nAGFA CORPORATION - Elmwood Park, NJ\nAugust 2017 to Present\nElmwood Park, NJ. (AUG 2017 - PRESENT)\n\nAGFA GRAPHICS NORTH AMERICAN REGION\n$325M Professional Printing Division - products and services in the Commercial Graphics Market\nController -Director:\n\n\u2022 Financial Business Partner to the North American senior management team focused on setting strategic direction and identifying opportunities for profitability improvements and cost optimization\n\u2022 Direct all controlling, manufacturing accounting, business administration, and strategic planning activities for the North American region.\n\u2022 Redesigned financial reporting process to provide relevant financial information to various levels of the organization ranging from detailed operational KPIs to high level management overviews.\n\u2022 Develop and Monitor Monthly Forecasts, Annual Budgets, Mid-range and strategic plans.\n\u2022 Support Marketing and Sales Management thru product pricing, salesforce compensation, and deal analysis.\n\u2022 Manage the North American financial team of 6 professionals, 2 of which located at plant locations.\n\nSONY ELECTRONICS INC. (Sony North America) Park Ridge, NJ.\nPROFESSIONAL SOLUTIONS OF AMERICA DIVISION\n$550M North American Professional Products Division - Business to Business (B2B) products and services in the Broadcast, Corporate, Medical Device, Professional Displays, Security, and Digital Cinema markets.', u'VP Of Finance & Operations\nJanuary 2009 to January 2017\n\u2022 Leader and Business partner within the business unit management team responsible for oversight and successful operation of Controlling, Planning & Analysis, Supply Chain, and Sales Operational functions.\n\u2022 Managed Finance and Operational staff of 27 in the areas of Controllers (8), Business Planning (3), Supply Chain Operations (8), Demo Loan inventory control (4), and Sales operations (4).\n\u2022 Initiated Business restructuring activities resulting in 8 consecutive years of Fixed Cost reduction\n\u2022 Led the Merger & Acquisition activity for two 3rd party companies sized at $50M and $30M respectively, in addition to two internal Sony companies, inclusive of post-merger integration plans.\n\u2022 Presented Monthly Business Review updates to senior management committees both in U.S. and Japan,\nin addition to Quarterly Business updates to external auditors (PWC).\n\u2022 Developed all Monthly Forecasts, Annual Budgets, Mid-range and strategic plans.\n\u2022 Designed new P&L reporting structures to better analyze product group and sales office performance.\n\u2022 Managed the divestiture of several loss businesses-- Digital Photo, Security, and Video Conference markets.\n\u2022 Implemented new business models with customer financing terms to transform the Go-to-market strategy toward Managed Services revenue streams vs traditional box sales.\n\u2022 Financial team leader for the consolidation of $80M Canadian division into the U.S. operational infrastructure to gain a more efficient operation.\n\u2022 Directed Supply Chain Operations for the procurement and inventory control for 10 product lines to optimize inventory levels. Developed action plans to reduce any excess inventory.\n\u2022 Managed a team of 4 to control $10M in Demonstration/loaner inventory inclusive of 50 tradeshow/customer events with minimal annual write-off.\n\u2022 Responsible for the development, oversight, and controls surrounding $25M of customer rebate & MDF program payments resulting in annual year over year sales growth.', u'Controller -Director\nSony Electronics Professional Solutions of America Division\nJanuary 2000 to January 2009\nManaged all Financial Reporting, Budgeting, and Operational Analysis for Professional Products division.\n\n\u2022 Initiated all monthly financial reporting in accordance with GAAP.\n\u2022 Led financial module project team in connection with SAP installation.\n\u2022 Financial team leader for the consolidation of $100M Latin America division into the U.S. operational infrastructure to gain a more efficient operation with reduced cost of back office services.\n\u2022 Partnered with HQ management to consolidate the Accounting functions from all Sony business units into one centralized Shared Service platform team resulting in considerable time and savings.\n\u2022 Led project team that successfully instituted all internal control requirements in support of Sarbanes-Oxley.\n\u2022 Responsible for the Bi-annual development, oversight, and controls surrounding salesforce compensation plans covering 80 sales account managers carrying $2.5M of variable sales commission.\n\u2022 Performed and presented ROI analysis to company Capital Committee in support of new asset acquisitions.\n\u2022 Managed a staff of 12 finance professionals.']",[u'Bachelor of Science in (B.S.) -Accounting'],"[u'SETON HALL UNIVERSITY South Orange, NJ']"
0,https://resumes.indeed.com/resume/b734a3ce6c70e184,"[u'Account Service Manager\nUnited HealthCare Medicare Solutions - Jacksonville, FL\nOctober 2016 to Present', u'Business Management Sales\nBank of America - Jacksonville, FL\nJanuary 2012 to January 2015\n\u2022 Marketing and sales to potential homebuyers.\n\u2022 Network with Realtors on a daily basis to generate active leads\n\u2022 Thoroughly process loans from start to close\n\u2022 Work daily with Branch associates to coach on cross-selling\n\u2022 Analyze credit and financials to qualify loans\n\u2022 Review conditions in Underwriting\n\u2022 Educate borrower\u2019s ability to borrow\n\u2022 Highly motivated and driven sales leader and sales management experience\n\u2022 Exceptional organizational skills\n\u2022 Over 10 years experience with underwriting and processing\n\u2022 Persistent marketing and networking skills', u'VP CEO\nLexington Lending & Mortgage Group, Inc - Medina, OH\nDecember 2003 to July 2011\n\u2022 Effectively recruited, interviewed, hired, and trained all sales personnel into highly effective sales teams.\n\n\u2022 Developed strategy meetings with multiple mortgage branches and overseen daily coaching objectives.\n\n\u2022 Facilitated, managed, coached, trained, and successfully developed a marketing strategy, consisting of over thirty-six telemarketers and an outside sales force consisting of forty-eight loan originators.\n\n\u2022 Implemented and secured State Compliance procedures and preformed monthly Compliance Audits.\n\n\u2022 Amplified marketing strategy while efficiently strengthened profitable returns.\n\n\u2022 Designed a loan originator Template; enabling sales force to identify customer criteria for analysis and evaluation.\n\n\u2022 Super headed revenue growth from start-up to $1MM in less than one year.\n\n\u2022 Revolutionized a marketing and educational programmed geared towards Commercial and residential\nFinance.\n\n\u2022 Highly ambitious sales leader, experienced in cold-calling, closing, appointment setting, loan origination, and all aspects of marketing and business development.\n\n\u2022 Analyzed financial information, prepared financial reports to determine and maintain record of assets,\nliabilities, profit/ loss, tax liability, or other financial activities; including all payroll activity.', u'VP of Operations\nMerit Home Mortgage - Cleveland, OH\nDecember 2002 to December 2003\nPresident of Processing and underwriting Department\n\u2022 Successfully developed and planned operations; facilitated entrepreneurship ideas for growth.\n\n\u2022 Planned, organized, and developed procedures and polices per State law and compliance\n\n\u2022 Coached and trained new staff accordingly.\n\n\u2022 Initiated loan processing flow department, ensuring compliance and time management.\n\n\u2022 Maintained payroll, profit/loss spreadsheet, and cost analysis budget.\n\n\u2022 Developed marketing strategies successfully through networking, inbound call center, and campaigns']","[u'BS in Business Administration', u'BS in Business Administration']","[u'Indiana Tech University Fort Wayne, IN\nJanuary 2011', u'South University Savannah, GA']"
0,https://resumes.indeed.com/resume/c4de7b04006c12de,"[u'Owner\nAndrew Wegner Trucking - Faribault, MN\nJanuary 2017 to Present\nI run my own trucking company which consists of finding work for my truck as well as managing all records, and driving the truck.', u'Owner/Operator\nVogelsberg Trucking - Faribault, MN\nNovember 2011 to February 2017\nI was an owner/operator who managed my own business as well as drove my truck.', u'VP of Operations\nComputer Easy Inc. - Norwood, MN\nOctober 2001 to June 2012\nI was in Harte of day to day operations as well as managing employees and taking care of customers. I also worked in the field as a network tech and computer repair specialist.']","[u'CCNA in Cisco Networking', u'in General', u'High school or equivalent']","[u'Hennepin Technical College Eden Prairie, MN\nSeptember 2002 to December 2002', u'Bethany Lutheran College Mankato, MN\nSeptember 1997 to June 1998', u'Mayer High School Mayer, MN\nSeptember 1993 to June 1997']"
0,https://resumes.indeed.com/resume/96a7dc62715fd3df,"[u'VP of Operations\nHelton Ingram Septic, INC - Cleburne, TX\nJanuary 2006 to Present\nDec 2017 Direct financial operations.\nPrepare staff schedules or work assignments.\nDirect organizational operations, projects, or services.\nAnalyze data to assess operational or project effectiveness.\nDevelop organizational policies or programs.\nImplement organizational process or policy changes.\nDirect sales, marketing, or customer service activities.\nConfer with organizational members to accomplish work activities.\nPrepare operational budgets.\nResolve employee or contractor problems.']","[u'', u'in Cosmetology', u'in Accounting']","[u'Texas School of Phlebotomy\nJanuary 2017', u'Hill College Cleburne, TX\nAugust 2012 to September 2012', u'Hill College Cleburne, TX\nJanuary 2008 to March 2008']"
0,https://resumes.indeed.com/resume/ebad66c1704eb0eb,"[u'Chief Operating Officer\nWEST LAS VEGAS SURGERY CENTER/VALLEY VIEW SURGERY CENTER - Henderson, NV\nJanuary 2015 to January 2016\n89044 \u2666 C: (702) 901-3400\nDEBRA@DEBRASKELLY.COM', u'VP, Operations\nRODMAN ENTERPRISES, LTD\nJanuary 2012 to January 2015\nRehired to bolster US client and vendor relationships and drive growth throughout the US.\n\u2022 Strengthened relationship with Chinese suppliers and negotiated more favorable contracts and financial relationships for the company.\n\u2022 Streamlined operations and created a US-based warehousing project that was connected to the main office in China.\n\u2022 Implemented strategies to bolster financial reporting and focus on lean management which increased profitability for the division.\n\u2022 Created innovative products and materials to better suit the US market; new products represented a significant sales increase in our military channel, bringing yearly sales to $300MM.\n\u2022 Won back contract from large manufacturer after business softened due to increased competition; manufacturer now consistently funnels new clients to Rodman Enterprises.\n\u2022 Developed overseas staff to better negotiate and evaluate product quality, manufacturing time frame and cost issues.\n\u2022 Boosted morale with domestic and overseas teams through unique incentives which boosted product quality and enhanced delivery times.', u""Director of Operations\nNEVADA HEALTH CENTERS, INC\nJanuary 2012 to January 2012\nfor the state of Nevada)\n\u2022 Hired to develop and implement strategies to enhance the company's operational, clinical, and financial performance, adding value to assigned regions through the creation of standards, metrics, and expectations for staff members.\n\u2022 Collaborated with IT to streamline the EMR system to better handle billing and the Patient Centered Health Home initiative.\n\u2022 Documented financial statistical data and clinic performance reviews in comprehensive reports for use by the CEO and management throughout the company.\n\u2022 Conducted and organized operational meetings, created agendas and acted as the lead in the COO's, long term absence.\n\u2022 Participated in the organizational planning of a new large medical and administrative facility. Coordinated the staff and clinics in the physical move to the new facility.\n\u2022 Oversaw all aspects of the employees and medical facilities state-wide."", u'Administrator\nCONCENTRA\nJanuary 2006 to January 2007\n\u2022 Hired to optimize and streamline regular company operations and employee processes to mitigate costs and improve revenues while increasing customer retention and referrals/references.\n\u2022 Initiated the ""No Employee Left Behind"" plan that synergized employee team efforts through problem solving meetings and staff retention programs.\n\u2022 Implemented a detailed operations review of incorrect billing procedures and insurance collections, realizing over $50,000 in additional revenue.\n\u2022 Managed company resources through the reallocation and movement of equipment and supplies with all facilities to enhance company overhead costs.\n\u2022 Restructuring of staff and physicians to streamline operations with the company\'s only facility providing orthopedic specialists, workers comp cases and private practice.\n\u2022 Created corrective action planning in resolving unusual or complex staffing and departmental problems.']","[u'Master of Science in Health Care Administration', u'Bachelor of Science in Health Care Management']","[u'Hamilton University Evanston, WY', u'Hamilton University Evanston, WY']"
0,https://resumes.indeed.com/resume/5af950fe72cb4666,"[u'VP of Operations\nMcDonnell Construction & Development: - Fort Worth, TX\nSeptember 2015 to December 2017\nCoordinated with architects, & engineers to develop plans for nursing home projects. Met with city planning & development councils to facilitate project planning. Developed & maintained budget & time management for multimillion dollar projects. Coordinated multiple complex projects running simultaneously across the state. Managed the subcontractor & supplier bid process including proposals, bid analysis & selection. Negotiated price, writing & executing contracts for sub-contractors. Assured project remained compliant with ADA, TAS, and the Department of Aging & Disability Services regulations. Managed subcontractors & worked with superintendents to solve problems during construction phase. Safety Officer duties included conducting \u201ctoolbox talks\u201d to provide weekly safety topics to construction-site staff, safety inspections, & maintaining knowledge of OSHA regulations. Facilitated city & state inspections. Maintained communications with the owner/operator through construction & move in. Acted as the liaison between operator & construction company during the warranty period. Handled Problem projects & projects in jeopardy of missing deadlines to get them back on schedule.', u'Owner/Operator\nMcDonnell Farms - Hudson Oaks, TX\nSeptember 2012 to September 2015\nDesigned & built 3 acre Aquaponic system greenhouse. Negotiated pricing for materials & labor. Grew plants & fish in a water circulation system. Maintained equipment, fish, & circulation systems. Marketed plants at stores & markets. Inspected system daily and kept records of results.', u'Owner\nMRM CONSTRUCTION - Hudson Oaks, TX\nJanuary 2012 to November 2013\nPerformed general construction & remodel for customers, including: Painting, electrical, plumbing, framing, concrete, drywall.', u'VP of Operations/project manager\nMcDonnell Construction & Development: - Fort Worth, TX\nDecember 2000 to December 2011\nCoordinated with architects, & engineers to develop plans for nursing home projects. Met with city planning & development councils to facilitate project planning. Developed & maintained budget & time management for multimillion dollar projects. Coordinated multiple complex projects running simultaneously across the state. Managed the subcontractor & supplier bid process including proposals, bid analysis & selection. Negotiated price, writing & executing contracts for sub-contractors. Assured project remained compliant with ADA, TAS, and the Department of Aging & Disability Services regulations. Managed subcontractors & worked with superintendents to solve problems during construction phase. Safety Officer duties included conducting \u201ctoolbox talks\u201d to provide weekly safety topics to construction-site staff, safety inspections, & maintaining knowledge of OSHA regulations. Facilitated city & state inspections. Maintained communications with the owner/operator through construction & move in. Acted as the liaison between operator & construction company during the warranty period. Handled Problem projects & projects in jeopardy of missing deadlines to get them back on schedule.', u'Superintendent\nMcDonnell Construction, Inc. - Fort Worth, TX\nJuly 1996 to January 2000\nCoordinated & provided oversight of construction & coordinated sub-contractors. This included scheduling, problem solving, interpreting architectural/engineering plans for sub-contractors, city & state inspections, TAS reviews, safety inspections, & TCEQ inspections/log book', u'Sales/\nHome Depot - White Settlement, TX\nMay 1990 to August 1995\nOversaw the hardware department as Assistant Department Manager. Worked in Plumbing, hardware, roofing/building materials, lumber, garden, & flooring as sales associate and then moved to the Customer Service desk. At the Customer service desk: Co-ordinated & sold special orders to customers, scheduled deliveries, handled any issues that floor associates needed help with for customers, scheduled installations, was responsible for cash register at service desk.', u'Assistant Superintendent\nMcDonnell Construction, Inc. - Fort Worth, TX\nJune 1989 to June 1990\nKept the jobsite clean. Assisted the Superintendent with projects outside the scope of sub-contractors.']",[u'High school or equivalent'],[u'']
0,https://resumes.indeed.com/resume/45648e6c04c469e8,"[u'Security Guard Officer\nUnited American Security LLC - Hazleton, PA\nJanuary 2018 to Present\nLog in and out trailers as well as yard checks. Check seals and input info into computer to release loads.', u'VP of Operations\nDoug VanHorn Trucking - Sugarloaf, PA\nAugust 2001 to Present\nResponsibilities\nMaintenance reports, truck repairs, taxes and day to day operations\n\nAccomplishments\nAdding extra loads and met sensitive time scheduled as well as dispatch loads.\n\nSkills Used\nMulti tasking and people skills. Am able to negotiate new contracts with new clients.', u'Asset protection Manager\nKmart - Hazleton, PA\nJune 2017 to March 2018\nSchedule employees, cash over short, inventory, stop shoplifters, internal and external investigations, asset control\n\nLeaving only because of store closing.']",[u'Marketing'],[u'Northwest Halifax High']
0,https://resumes.indeed.com/resume/365a39892cc7dd1e,"[u'VP Business Operations\nAmerican Home Patient - St. Louis, MO\nJuly 2014 to April 2016\nReported to SVP\nRedesigned revenue cycle process from intake to cash applications.\nStreamlined collections and cash posting processes eliminating 30% of the necessary staff.\nCentralized document collections process, resulting in a simplified standard operating procedure and reducing the number of follow up calls to referrals.', u'Director of Revenue Management\nApria Healthcare - Wentzville, MO\nJanuary 1994 to January 2014\nAccomplishments\n\uf0a7 Reported to SVP, Customer Service\n\uf0a7 Business Development leader that initiated a new product line, NPWT/wound care, which grew over 300 percent to 60 million annually\n\uf0a7 Created National Call and Billing center to manage the revenue cycle\n\uf0a7 Developed processes to manage each functional area to include logistics, customer service and marketing\n\uf0a7 Directed offices in multiple sites across the organization\n\uf0a7 Effectively managed large volumes of pre/post audits from Medicare\n\uf0a7 Worked alongside sales to create geographical alignment thus fostering strong relationships with internal and external customers\n\uf0a7 Established the first External Service Network to service areas affected by Competitive Bidding\n\n\n\n\nSkills Used\nLeadership, Marketing, Sales, Training, Contracting. Negotiating, Revenue Cycle Management']",[u'MBA in Health Service Management'],"[u'Webster university St. Louis, MO\nJanuary 1994 to January 1997']"
0,https://resumes.indeed.com/resume/3f1edcde1fdcb41b,"[u'Office Administrator\nCruise Planners - Ridgefield, CT\nFebruary 2014 to Present\nDatabase entry\nClient billing\nOffice mailings\nTracked client itineraries\nOffice organization/filing', u'VP of Operations\nParent Teacher Association - Brooklyn, NY\nJanuary 2009 to January 2014\nManaged PTA office\nOrganized hygiene assessment program for 1000+ students\nSet design for PTA/ PS 10 sponsored events\nFundraising for PS10', u'Dental Office Manager\nDr Jerome Levine - New York, NY\nJanuary 1994 to January 2005\nPatient billing\nBook keeping\nInsurance claim submissions/troubleshooting\nTreatment plans\nFinancial arrangements\nHandled HR staffing\nPatient referrals\nPatient/doctor liason\nFront desk/organized\nOrdered all office supplies']",[u'Some college'],[u'']
0,https://resumes.indeed.com/resume/288d01c7e500b1a2,"[u""SVP, Head of Operations\nBANK LEUMI USA - New York, NY\nJuly 2013 to December 2017\nAccomplishment Snapshot\n\u2022 Managed full banking and Brokerage Operations divisions, \u2022 Designed and established\ninclusive of Foreign Exchange, Fixed Income and Treasury Operations processes and Trading Operations, Loan Operations, Deposit Operations, technology to support new\nMoney Transfer totaling 46 FTE principal fixed income trading\n\u2022 Member of the bank's Senior Management team, as well as the desk, interest rate swaps and Audit, Risk, Compliance and New Product Committees electronic foreign exchange system\n(determining feasibility, logistics and regulatory impact for (Currenex)\ncorporate initiatives) \u2022 Designed and executed 3-year\nefficiency strategy (inclusive of\n\u2022 Designed, sponsored and executed a three-year strategic\nstaff reductions, contract\nefficiency plan inclusive of staff reductions, new system\nrenegotiations, process\nimplementations, process efficiencies and vendor management streamlining and new systems) and resulting in 38% operations budget reduction led major change initiatives\n\u2022 Major projects include Core Banking Transformation, Private \u2022 Served as Operations Business\nBank Lending, Calypso, Interest Rate Swaps, Intellimatch, Service Solution Architect on $35MM Core\nNow and Broadridge Decommission Banking Transformation Project\n\u2022 Created monthly dashboard which includes KRI's, KPI's, and on Private Banking Lending\nvolumes and performance against SLA's Project (resulting in higher return\n\u2022 Management of the banks largest vendors, including Pershing, and better customer terms)\nBroadridge, Citibank and JP Morgan Custody"", u'VP, Alternative Investments Service and Operations Manager\nHSBC BANK - New York, NY\nJune 2006 to June 2013\nActed as Service Manager for all alternative investments and strategies including internal and 3rd party\nHedge Fund, and Private Equity funds, structured notes, OTC derivatives and physical metals \u2022\n\u2022 Oversaw the day-to-day administration of Hedge and Private Equity Funds inclusive of operations,\ntrading, performance reporting, and client service.\nAccomplishment Snapshot\n\u2022 Responsible for the design and implementation of new fund\nstrategies and structures, which include discretionary hedge fund \u2022 Completed total operational and program and private real estate club deal program service model overhaul, resulting\n\u2022 Redesigned entire alternative operation and service model in 45+% error reduction rate\nwithin initial 12 months of employment. Implemented new \u2022 Negotiated custody and trading\nprocedures and controls which reduced trading and operational charges resulting in $500M annual\nsavings\nerrors by over 45%.\n\u2022 Negotiated custody and trading charges resulting in ongoing\n$500,000 yearly savings\n\u2022 Interfaced with External Auditors, Regulators, Compliance and Internal Risk Management\n\u2022 Managed external custodians, fund administrators and technology service providers relationships', u'VP, Private Bank Alternative Investments Project and Service Manager\nCITIBANK - New York, NY\nJanuary 2004 to January 2006\nRedesigned processes for all Private Bank Hedge Fund, Private Equity and Structured Notes trading and service\nProject Management Snapshot \u2022 Managed a staff of six FTEs responsible for all subscriptions,\n\u2022 Acted as Sr. PM for Investment redemptions, pricing, reconciliation, and Account Re-Engineering Project for documentation control\nboth business and system \u2022 Served as central liaison for Private Bankers, Investment Advisors and processes Fund Managers for all fund-related issues\n\u2022 Served as Primary PM for \u2022 Acted as Senior Project Manager for Investment Account re-engineering\nAlternative Investment Reporting project re-designing both business and systems processes which support\nProject, which included the service and operations of all investment products\noperational and reporting system\n\u2022 Primary Project Manager for Alternative Investment Reporting project,\nmigration which migrated the operating and reporting platform for CPB\nAlternative Investment positions to the Smith Barney brokerage platform', u'VP, Senior Project/Product Development Manager - Securities Lending\nJ.P. MORGAN CHASE\nJanuary 1991 to January 2003\nResponsible for planning, prioritizing and managing development projects from inception through specification, development, testing and implementation, including: planning, tracking, documenting,\nand implementing all aspects of system, industry and client projects\n\u2022 Lead Designer, Business Analyst and UAT manager on a $30MM Project Management Snapshot\nproject to replace four legacy securities lending trading systems. \u2022 Served as Lead Designer, Business\nServed as Product Manager on Equilend to ensure that industry Analyst and UAT Manager for requirements fit seamlessly into internal systems and operating $30MM securities lending and\nstructure repo trading platform project']",[u'Bachelor of Business Administration in Banking and Finance'],"[u'Hofstra University Hempstead, NY\nJanuary 1991']"
