,resume,work_exp,edu,univ
0,https://resumes.indeed.com/resume/36002491f85ba23a,"[u'Data Analyst\nHappiest Minds Technologies - Bengaluru, Karnataka\nApril 2015 to November 2017\nDevelop analytics solutions for multinational clients using technologies such as, Python, R, and\nTableau\n\u2022 Lead all calls and meetings to gather requirements, and assist on SOW creation\n\u2022 Data visualization for a US IT infrastructure company, creating dashboards for company website\nusing Python Plotly and Tableau.\n\u2022 Increase company sales by providing complete analytics solution for infrastructure clients using\nPython, and R.\n\u2022 Created footfall prediction for medical companies using Python scikit-learn\n\u2022 Provide social media analytics solutions, including analysis of Audience Data, Engagement Data\nSentiment Data Analysis using Python\n\u2022 Led all meetings and conference calls for product demos, product pre-releases, and enhancement\nrequests', u'Project Engineer\nWipro Technologies - Kochi, Kerala\nJuly 2011 to June 2014\nDeveloping and maintaining different modules of multifunction peripheral software for a\nJapanese multinational conglomerate.\n\u2022 Oversee the project for development of scan applications for MFP using C++\n\u2022 Automate texting editing software using Python\n\u2022 Oversee the development of Microsoft office Add-in for Scan using C#']","[u'', u'Bachelor of Technology in Computer Science']","[u'Praxis Business School Kolkata, West Bengal\nJanuary 2014 to January 2015', u'Model Engineering College Kochi, Kerala\nJanuary 2007 to January 2011']"
0,https://resumes.indeed.com/resume/3a6b373bb8ef33b3,"[u'Data Analyst\nAnnik Inc - Bellevue, WA\nJune 2017 to March 2018\n\u2022 Created a website using C# for Program Managers to view different events to plan product launches effectively\n\u2022 Automated the process to extract work item data from Visual Studio Team Service into MS SQL using C# for reporting\n\u2022 Created Power BI dashboards for a Fortune 100 company effective issue tracking across the system and strategic overview\n\u2022 Collaborated with multiple teams to ensure data flow across systems for smooth product launches\n\u2022 Conducted gap analysis, identified and provided tactical recommendations for 6 software tools of a Fortune 100 company across 8 parameters to drive executive level strategic overview\n\u2022 Built a case study on the framework and methodology implemented, to be used by business development managers for potential\nclients and improve organizational growth\n\u2022 Analyzed Partner Network data to understand their satisfaction with the Partner Program using Python\n\u2022 Document business requirements for continuous improvement process using automation to reduce product launch by 5 days\n\u2022 Delivered weekly project status review to stakeholders focused on deliverables, issues and risks\n\u2022 Oversaw project lifecycle execution from planning, execution, risk valuation\n\u2022 Designed a business model for business growth and expansion\n\u2022 Participated in Project Management Bootcamp to gain knowledge in project management', u""Senior Systems Engineer\nInfosys Ltd - Pune, Maharashtra\nMay 2013 to August 2016\n\u2022 Built custom reporting solution to extract data from multiple DB2 instances into concise report, reducing analysis time for the business from 3 hours to 30 mins using SQL and object - oriented programming\n\u2022 Led a team of 3 resources for system analysis, development and QA support for application development\n\u2022 Initiated and mentored team members on Member Enrolment Application for knowledge transfer\n\u2022 Optimized SQL queries using Performance Analysis Tool, Strobe, to increase performance by 20%\n\u2022 Created project estimates based on code changes and resources allocation\n\u2022 Earned the 'Best Debutant' Award for outstanding performance for project delivery in Q2 2014""]","[u'MS in Information Management', u'Bachelor of Engineering in Engineering']","[u'University of Washington Seattle, WA\nSeptember 2016 to June 2018', u'University of Mumbai Mumbai, Maharashtra\nAugust 2008 to June 2012']"
0,https://resumes.indeed.com/resume/4d2bd193cc520b58,"[u""Software Engineer Intern\nOpenClinica LLC - Waltham, MA\nJanuary 2014 to April 2014\n\u2022 Investigated and reported products's defects. Designed test plans and executed automation test scripts using\nSelenium IDE to accelerate testing turn-around time by 60%.\n\u2022 Initiated and created application security vulnerabilities test based on source code review and Burp Suite in addition to company's routine functionality test.\n\u2022 Developed a Session ID Hacker app to illustrate the risk and remediation strategy of product's security\nvulnerabilities to the Dev team."", u""Data Analyst Intern\nMonotype Imaging Inc - Woburn, MA\nJanuary 2012 to January 2013\n\u2022 Designed SQL queries in Oracle database to generate revenue reports based on sales and financial team's requests.\n\u2022 Maintained and updated database daily, provided technical help to sales team and financial analysts on database.\n\nProject\nUser Information System (JAVA Web Application)\n\u2022 Tools: JAVA, SpringMVC, Spring, MyBatis, JSP, MySQL, JUnit, HTML\n\u2022 A user information management system. Functions includes user login/logout/register, create/read/update/delete\nuser information, and search user information.\n\u2022 Spring MVC used for request routing and handling. MyBaits used as data persistence layer. JUnit used for unit\ntesting framework. MySQL for database.\n\nSession ID Hacker (Web Security) related with experience in OpenClinica\n\u2022 Tools: Cross-Site Scripting(XSS), javascript, Node.js, Burp Suite Scanner.\n\u2022 A server-side hacking application built with Node.js. Functions include stealing authenticated users's session ID and automatically changing users' password and saving new passwords to hacker's server.""]","[u'MS in Computer Information Systems in Computer Information Systems', u'MS in Finance in Finance', u'BS in Biology Science in Biology Science']","[u'Bentley University in Waltham\nJanuary 2013 to January 2015', u'Bentley University in Waltham\nJanuary 2010 to January 2012', u'Capital Normal University in Beijing Beijing, CN\nJanuary 2005 to January 2009']"
0,https://resumes.indeed.com/resume/8831f04940c30361,"[u'Lead Data Warehouse Engineer\nBirst Analytics Platform - San Francisco, CA\nJanuary 2007 to Present\nSan Francisco, CA Microsoft SQL Server\nJanuary 2007 - PRESENT 2008-2014\nLead Data Warehouse Engineer Microsoft Analysis']",[u'in Business Management'],"[u'Interamerican University of Puerto Rico Rio Piedras, PR\nJune 2001 to May 2003']"
0,https://resumes.indeed.com/resume/7aef5b5b9dd78e4d,"[u'GM Financials\nSeptember 2017 to Present\n\u2022 Conducting Fraud Detection in regular time intervals using Predictive Analytics and Behavioral Analytics.\n\u2022 Managed diverse data sets and ensures they effectively advance risk identification, issue management and control effectiveness.\n\u2022 Identification and collection of data for Key Risk Indicators (KRIs) to detect Fraud.\n\u2022 Analyzed data using various statistical PROCEDURES like PROC SUMMARY, PROC MEANS, PROC FREQ, PROC UNIVARIATE, PROC REG and PROC ANOVA for modelling.\n\u2022 Used Enterprise Miner for taking data and converting them into required SAS datasets. Also used the SAS Forecast Studio for appropriate analysis of data for different Forecasting models like Time Series Forecasting.\n\u2022 Used SAS Data Step logics to Sort, Merge, Stack, Update and Interleave datasets for producing required analysis of data and used SAS Enterprise Guide to produce required Reports.\n\u2022 Extensively used PROC SQL and SELECT sub-queries to generate various reports by connecting to the Oracle DB.\n\u2022 Building, publishing customized interactive reports and dashboards, report scheduling using Tableau server.\n\u2022 Created Tableau Dashboards with interactive views, trends and with user level security for managers.', u'Data Analyst\nWipro Technologies\nFebruary 2014 to December 2015\n\u2022 Involved in Credit Risk Assessment Model to calculate risk factor for individual clients based on hierarchy\n\u2022 Performed competitor and customer analysis, risk and pricing analysis and forecasted results for credit card holders on demographical basis\n\u2022 Used transactional and customer records, external data, publicly- available information, and other information to identify suspicious or unusual activity.\n\u2022 Responsible for Statistical Data Model for different customers and credit card holders.\n\u2022 Proposed a set of action plans to mitigate the risks identified with the sourcing decision.\n\u2022 Used SAS Base programming as well as SAS Enterprise Guide 4.0 to produce various reports, charts and graphs.\n\u2022 Analyzed data using various statistical PROCEDURES like PROC SUMMARY, PROC MEANS, PROC FREQ, PROC UNIVARIATE, PROC REG and PROC ANOVA for modeling.\n\u2022 Used SAS/Macro facility to create macros for statistical analysis, reporting results and data extraction\n\u2022 Generated HTML, Listings, EXCEL and RTF reports for presenting findings of various statistical PROCEDURES using PROCEDURES like PROC REPORT, PROC PRINT, PROC FREQ and SAS ODS', u'Project Engineer\nWipro Technologies\nJanuary 2013 to February 2014\nTo ease maintenance of legacy documents and current documents we implemented Oracle ECM (Enterprise Content Management) integrating with Oracle EBS. As a team of 5, my role was to validate the legacy documents uploaded in SharePoint and help to migrate the documents to ECM through SOAP (Webservice).\n\u2022 Integrated Oracle EBS with ECM (Enterprise Content Management) using PL/SQL, SQL, and SOAP (Webservice).\n\u2022 Designed and implemented package and stored procedures using SQL and PL/SQL to validate the existing/new files in the system.\n\u2022 Developed Stored Procedures, Functions, Packages and SQL Scripts using PL/SQL.\n\u2022 Generated reports using Global Variables, Expressions, and Functions in Oracle Reports tool.\n\u2022 Loaded the data into database tables using SQL*loader from a text and excel files.\n\u2022 Developed data model, SQL Queries, SQL Query tuning process, and Schemas.\n\u2022 Extensive experience in developing complex Stored Procedures, Functions, Triggers, Views, Cursors, Indexes, Joins and Subqueries with T-SQL.']","[u'M.S. in Information Technology & Management', u'B.E. in Electrical and Electronics Engineering']","[u'The University of Texas at Dallas Dallas, TX\nAugust 2017', u'Sathyabama University Chennai, Tamil Nadu\nApril 2013']"
0,https://resumes.indeed.com/resume/891156a6b5c253cb,"[u'Data Engineer\nSimplePart - Atlanta, GA\nJune 2015 to Present\nMonitoring our production environment and ensuring data movement between the various systems are running smooth and efficient. Overseeing the data warehouse and ensuring all processes are completing successfully and producing accurate results. Working with our in-house digital marketing agency (SEO/SEM) teams to maintain and enhance processes that generate various data feeds.\n\n* Creating and maintaining data pipelines between manufacturers and other 3rd party systems utilizing Python and SQL Server.\n\n* Consuming web services with Python.\n\n* Creating and maintaining new data warehouse processes and tables to enhance our reporting system.', u'Software Engineer\nAmplify Nation - Atlanta, GA\nJune 2013 to May 2015\nMarketing technology startup building a multichannel marketing automation software solution. I primarily worked as a backend engineer using Python as our core language, Django as our web framework and PostgreSQL as our primary database. We also utilized MongoDB for some logging of marketing activities.\n\n* Created the automation processes to retrieve data from a 3rd party vendor, perform data hygiene, validate and then insert/update the records into the marketing database.\n\n* Created an API endpoint for the other services of the application to communicate with the database for various marketing activities.\n\n* Created processes that extracted the data and triggered the automated marketing jobs.', u'Business Analyst\nKids II - Atlanta, GA\nJanuary 2012 to May 2013\nProvide all departments with database solutions to improve and streamline processes by applying technical skills, development skills and business management skills. Creating data warehouses, developing critical reports and automating manual processes to improve productivity and reduce cost. I primarily work with Microsoft Access/VBA, SQL Server, Oracle PL/SQL and Excel/PowerPivot.\n\n* Working with sales and forecasting to build SSAS (Tabular) model to help analyze forecast accuracy.\n\n* Integrate our forecasting software (Logility) into our ERP software program.\n\n* Providing various departments with ad-hoc reports and data analysis.', u'SQL Developer\ndDirect - Atlanta, GA\nJuly 2009 to December 2012\nCreating, enhancing and maintaining SQL Server solutions for our largest clients. This includes working with TSQL to build stored procedures, building and maintaining SSIS processes, performing data analysis and ad-hoc reporting.\n\n* Perform response analysis to determine ROI on marketing activities.\n\n* Data mining activities to rank customer to allow for better selections for campaigns.\n\n* Performing location-based data visualization of customer/store location.\n\nNOTE: I also did some work here Oct. 2014 to May 2015.', u'Data Analyst\nAHC Media LLC - Atlanta, GA\nSeptember 2002 to June 2009\nProvide the marketing department with all database needs to complete successful marketing campaigns. Work with the circulation department to provide and implement programs and databases to streamline and automate various processes within the department. I worked with Microsoft SQL Server, Microsoft Access/VBA, Microsoft Visual FoxPro and Microsoft Office as well as several third party tools to accomplish this.\n\n* Developed databases and utilize these databases to process direct mail, email and PURL campaigns. This includes data import/hygiene, merge/purges, custom programming, custom reports and both frontend and backend analysis.\n\n* Worked with the circulation department on a variety of database projects to include but not limited to the following; Renewal database, Sponsored Education database, Pick Ticket database/program, Credit Letter database, Invoicing database and Inventory database.\n\n* Worked as the SQL Server Database Administrator (DBA).']","[u'Intensive Program in Introduction to Data Analysis', u'Two-year Technical Diploma in Computer Science']","[u'Codecademy Atlanta, GA\nDecember 2017 to March 2018', u'Pinellas Technical Education Center-Clearwater Clearwater, FL\nSeptember 1990 to October 1992']"
0,https://resumes.indeed.com/resume/36de548780234f4d,"[u'Data Center Engineer\nKCG Holdings, Inc\nJanuary 2007 to March 2017\nProvide technical assistance to computer users (750+ employees). Answer questions and resolve computer problems. Provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Design, develop, deploy and support data center infrastructure. Manage and plan the server deployments based on power, cooling and rack space. Coordinate projects. Work collaboratively with other engineers and product owners to bring new features and services into production. Analyze, test, troubleshoot, and evaluate infrastructure, including Cat6, 10G multimode, single mode, and new cabinets. Liaise with 3rd party suppliers to support data center, determining hotspots, completing thermal imaging, and improving equipment dispersion.\n\n\u25cf IT Infrastructure: Planned the infrastructure. Programmed and arranged swing environment to accommodate 400 servers and networking equipment. Designed, built, maintained, and supervised new data center and trading floor with 200 desks.\n\u25cf Project Management: Integral participant in cross-functional troubleshooting of complex systems, software, applications and programs; deliver recommendations for solutions and improvement. Member of project teams identifying and meeting capacity requirements and weight specifications.\n\u25cf Operations Management: Accept/Test and extend Data communication circuits within the data centers to WAN equipment.Perform OTDR tests and troubleshooting on companies Fiber DWDM infrastructure. Maintained the inventory of servers and parts and coordinate with various technology departments for major upgrades, deployments, server switches, and firewalls. Troubleshooted 200+ WAN circuits, installed major server deployments and server cabling. Configured Cisco switches and ports.\n\u25cf Third Party Management: Liaised with vendors to troubleshoot servers and storage units and replace hardware in them when needed including hard drives, DIMMs, and system boards. Supervised vendors and coordinated engineering teams to complete the project of relocating data center.\n\u25cf Systems Administration: Administer WAN acceptance, T-1, ISDN, DS-3, OC-3, DWDM and Ethernet circuits. Managed cabling (Fiber copper, coax), spare network equipment, and server equipment.', u'KCG Holdings, Inc - Purchase, NY\nJanuary 1995 to January 2017\nAmerican global financial services firm, engaging in market trading, high-frequency trading, electronic execution, and institutional sales and trading.', u'Trade Floor Support Analyst\nKCG Holdings, Inc\nJanuary 1995 to January 2007\nBuilt all aspects of local infrastructure for 250+ members of staff. Acted as IT Purchase SME, advising on $2M-worth equipment for data center and trading floor site.\n\u25cf Systems Management: Configured and maintained PBX (Mitel &Tadiran).\n\nPrevious experience includes Technical Specialist role with MCI Telecommunications,\nField Engineer position with A C & E as well as Customer Service Representative role with US SPRINT.\n\nTechnology Proficiencies']","[u'Certificate', u'in Business Administration']","[u'INSTITUTE OF AUDIO RESEARCH New York, NY\nJanuary 2012', u'WESTCHESTER COMMUNITY COLLEGE Valhalla, NY']"
0,https://resumes.indeed.com/resume/1a03c6d8ccc59f34,"[u'Web Analyst\nMcMahon Group - New York, NY\nJanuary 2016 to February 2018\n\u2022 Manage web ads & tags on a daily basis so that campaigns reach their monthly goals\n\u2022 Creating new reports for medical advertising clients with detailed campaign metrics\n\u2022 Analyzing key metrics including ad impressions, pageviews, ad clicks, eNewsletter open rates, ad\nviewability, invalid/non-human traffic\n\u2022 Creating eNewsletter campaigns & templates', u'Marketing & Data Engineer\nParchem-Fine & Specialty Chemicals - New Rochelle, NY\nJanuary 2013 to January 2016\nManaging data on a B2B website with complex products along with two rapidly-growing B2C e-\nCommerce websites\n\u2022 Improve SEO strategy in order to maintain & increase position as an authoritative top-ranking site in the industry\n\u2022 Analyzing PPC marketing campaign keyword performance\n\u2022 Finding ways to increase traffic and overall brand recognition']","[u'', u'', u'Bachelor of Arts in Economics']","[u'SUNY Purchase\nJanuary 2016', u'Western Connecticut State University Danbury, CT\nMarch 2013', u'University at Albany New York, NY\nMay 2012']"
0,https://resumes.indeed.com/resume/d8d796b1157e19c4,"[u'Mechanical Enginner; Data Engineer\nHighly motivated to do good quality project work as follows:\n\u27a2 Demonstrated a solution to the problem of missing data by understanding the behavioral\nmodeling of the available data and implementing the predictive modeling on missing data of\nimportant section.\n\u27a2 Proven ability to gain insights from data and influence the missing data results during my Data\nScience study.\n\u27a2 Identified and suggested future work to improve results in my Data Science study.\n\u27a2 Strong data handling skills which include importing data from files of different formats,\nmanipulating the data, concatenation of multiple files in an axis, obtaining values of a column,\ndeleting a column, extracting any value of a column, calculating the number of counts, extracting\nthe title/codebook and other related functions.\n\u27a2 Exploited Design of Experiment concepts using ANOVA and data visualization techniques to\ndetermine change in demands of the customer during their visit to a 2-wheeler dealership in a\nperiod of 2 years.\n\u27a2 We exercised Machine Learning concepts, algorithms and strong analytical skills with the ability\nto collect, organize, analyze and predict with certain probability whether visiting customers will\npurchase vehicle during their visit to a 2-wheeler dealership. The code is available on my GitHub\naccount ""https://github.com/karthiksur93/Machine_Learning_Application"".(Python)\n\u27a2 Exhibited strong communication and partnership skills in all the projects involving team\nmembers.\n\u27a2 Developed a Product-Safety Engineering Plan for WANHAO 3D printer.\no This involved working on Intended-Use Statement, Performance Specifications,\nEngineering Design, Engineering Analysis(PHL, Haddon Matrix, FMEA, FTA and\ndesigned warning labels), Testing Plan, Safety Materials, Post-Sale Monitoring and\nSupplemental Materials for WANHAO 3D.\n\u27a2 Analyzed components related and essential to the functioning of an Airbag System in a 2005\nMazda MX-5.\no This involved analysis using MX-5 Severity Categories, Risk Assessment Matrix and\nperforming FMEA.\n\u27a2 Proposed abatements to give the student an option of standing and/or sitting in a workstation\nwhich consists of a table/desk, an adjustable chair and a computer system.\n\u27a2 Designed a simulation in Eye Model.\no Blender and Human-Haptic interface using CHAI 3D for Telemanipulated Head Mounted\nRobotic Eye Surgery project.\n\u27a2 Customized Giraff Robot for better User Interaction using Arduino IDE and ROS at \u04e6rebro\nUniversity.\n\u27a2 Strong theoretical knowledge in Industrial Engineering, Operations Research, Tero Technology\nand Manufacturing Technology.\n\u27a2 Submitted a report to my Divisional Manager-Production on Axle assembly layout modification\nand quality enhancement which focuses on error correction and ergonomics enhancement.\n\nINPLANT EXPERIENCE\n\nSuccessfully completed two in-plant training and had an industrial training exposure for 6 months during\nmy Undergraduate Studies. During the training, I earned knowledge on the manufacture of industrial\ncomponents, working of various sections of Industry and working of teamed effort of the workers in\ndifferent sections of an Industry.\n\nINDUSTRIAL PROJECT WORK\n\nCOMPANY: ASHOK LEYLAND\nPROJECT: AXLE ASSEMBLY LAYOUT MODIFICATION AND QUALITY ENHANCEMENT.']","[u'MS in Mechanical Engineering', u'B.Tech in Mechatronics']","[u'University of Utah Salt Lake City, UT\nJanuary 2015 to January 2017', u'SASTRA University Thanjavur, Tamil Nadu\nJanuary 2011 to January 2015']"
0,https://resumes.indeed.com/resume/88217349adf36faf,"[u'Lead Data Analyst\nNectar Omni channel Marketing - Dallas, TX\nJanuary 2017 to Present\n\u2022 Responsible for building descriptive statistical models to provide insights on data\n\u2022 Building predictive models to assist marketing campaigns to increase revenue\n\u2022 Responsible for designing, building and maintaining data warehouse for reporting and analytics\n\u2022 Designing and building reports and dash boards in tableau for retail clients\n\u2022 Generate reports on campaign performance and automate the process', u'Data Engineer\nNectar Omni channel Marketing - Dallas, TX\nJune 2016 to Present\n\u2022 ETL of large unstructured data from various source to MongoDB/MySQL using java scripts/python\n\u2022 Writing scripts for transforming client data into required data format for efficient storage and retrieval\n\u2022 Developing data models for personalized recommendations system to recommend products, brands, food and movies', u'Data Integration & Analysis Intern\nNectar Omni channel Marketing - Dallas, TX\nJanuary 2016 to June 2016\nDesigning and implementing statistical models to build recommendation system using RFM, collaborative filtering\nand market basket analysis\n\u2022 Assisting the marketing team by providing reports and data insights for effective marketing campaigns', u'System Engineer\nTATA Consultancy Services - Bengaluru, Karnataka\nOctober 2011 to December 2014\n\u2022 Worked with clients as a techno-functional expert to analyze and implement User Stories in agile methodology\n\u2022 Worked as a lead QA for testing Enterprise data storage systems while coordinating between onsite and offshore teams']","[u'Master of Science in Information Technology and management', u'Bachelor of Engineering in Electronics and Communication Engineering']","[u'The University of Texas at Dallas (UTD) Richardson, TX\nMay 2016', u'Visvesvaraya Technological University (VTU)\nJune 2011']"
